Year,Short Title,Act No,URL
১৯৯৮,"পার্বত্য চট্টগ্রাম আঞ্চলিক পরিষদ আইন, ১৯৯৮",১২,http://bdlaws.minlaw.gov.bd/act-print-822.html
১৯৯৮,"নির্দিষ্টকরণ (সম্পূরক) আইন, ১৯৯৮",১৩,http://bdlaws.minlaw.gov.bd/act-print-823.html
১৯৯৮,"অর্থ আইন, ১৯৯৮",১৪,http://bdlaws.minlaw.gov.bd/act-print-824.html
১৯৯৮,"নির্দিষ্টকরণ আইন, ১৯৯৮",১৫,http://bdlaws.minlaw.gov.bd/act-print-825.html
১৯৯৮,"[গাজীপুর কৃষি বিশ্ববিদ্যালয়] আইন, ১৯৯৮",১৬,http://bdlaws.minlaw.gov.bd/act-print-826.html
১৯৯৮,"উপজেলা পরিষদ আইন, ১৯৯৮",২৪,http://bdlaws.minlaw.gov.bd/act-print-827.html
১৯৯৯,"মানবদেহে অঙ্গ-প্রত্যঙ্গ সংযোজন আইন, ১৯৯৯",৫,http://bdlaws.minlaw.gov.bd/act-print-828.html
১৯৯৯,"ডিপজিটরি আইন, ১৯৯৯",৬,http://bdlaws.minlaw.gov.bd/act-print-829.html
১৯৯৯,"নির্দিষ্টকরণ (সম্পূরক) আইন, ১৯৯৯",১৫,http://bdlaws.minlaw.gov.bd/act-print-830.html
১৯৯৯,"অর্থ আইন, ১৯৯৯",১৬,http://bdlaws.minlaw.gov.bd/act-print-831.html
১৯৯৯,"নির্দিষ্টকরণ আইন, ১৯৯৯",১৭,http://bdlaws.minlaw.gov.bd/act-print-832.html
১৯৯৯,"পল্লী দারিদ্র বিমোচন ফাউন্ডেশন আইন, ১৯৯৯",২৩,http://bdlaws.minlaw.gov.bd/act-print-833.html
২০০০,"আইনগত সহায়তা প্রদান আইন, ২০০০",৬,http://bdlaws.minlaw.gov.bd/act-print-834.html
২০০০,"নারী ও শিশু নির্যাতন দমন আইন, ২০০০",৮,http://bdlaws.minlaw.gov.bd/act-print-835.html
২০০০,"পরিবেশ আদালত আইন, ২০০০ [রহিত]",১১,http://bdlaws.minlaw.gov.bd/act-print-836.html
২০০০,"নির্দিষ্টকরণ (সম্পূরক) আইন, ২০০০",১৩,http://bdlaws.minlaw.gov.bd/act-print-837.html
২০০০,"অর্থ আইন, ২০০০",১৫,http://bdlaws.minlaw.gov.bd/act-print-838.html
২০০০,"নির্দিষ্টকরণ আইন, ২০০০",১৬,http://bdlaws.minlaw.gov.bd/act-print-839.html
২০০০,"ব্যাংক আমানত বীমা আইন, ২০০০",১৮,http://bdlaws.minlaw.gov.bd/act-print-840.html
২০০০,"জেলা পরিষদ আইন, ২০০০",১৯,http://bdlaws.minlaw.gov.bd/act-print-841.html
