Year,Short Title,Act No,URL
২০১৭,"ক্যাডেট কলেজ আইন, ২০১৭",১,http://bdlaws.minlaw.gov.bd/act-print-1202.html
২০১৭,"বাংলাদেশ জীববৈচিত্র্য আইন, ২০১৭",২,http://bdlaws.minlaw.gov.bd/act-print-1203.html
২০১৭,"বেসামরিক বিমান চলাচল কর্তৃপক্ষ আইন, ২০১৭",৩,http://bdlaws.minlaw.gov.bd/act-print-1204.html
২০১৭,"বাংলাদেশ পল্লী উন্নয়ন একাডেমি আইন, ২০১৭",৪,http://bdlaws.minlaw.gov.bd/act-print-1205.html
২০১৭,"পাট আইন, ২০১৭",৫,http://bdlaws.minlaw.gov.bd/act-print-1206.html
২০১৭,"বাল্যবিবাহ নিরোধ আইন, ২০১৭",৬,http://bdlaws.minlaw.gov.bd/act-print-1207.html
২০১৭,"বাংলাদেশ উন্নয়ন গবেষণা প্রতিষ্ঠান আইন, ২০১৭",৮,http://bdlaws.minlaw.gov.bd/act-print-1208.html
২০১৭,"বাংলাদেশ অ্যাক্রেডিটেশন কাউন্সিল আইন, ২০১৭",৯,http://bdlaws.minlaw.gov.bd/act-print-1209.html
২০১৭,"বাংলাদেশ শিপিং কর্পোরেশন আইন, ২০১৭",১০,http://bdlaws.minlaw.gov.bd/act-print-1210.html
২০১৭,"বাংলাদেশ পরমাণু কৃষি গবেষণা ইনস্টিটিউট (বিনা) আইন, ২০১৭",১১,http://bdlaws.minlaw.gov.bd/act-print-1211.html
২০১৭,"বাংলাদেশ কৃষি গবেষণা ইনস্টিটিউট (বারি) আইন, ২০১৭",১২,http://bdlaws.minlaw.gov.bd/act-print-1212.html
২০১৭,"নির্দিষ্টকরণ (সম্পূরক) আইন, ২০১৭",১৩,http://bdlaws.minlaw.gov.bd/act-print-1213.html
২০১৭,"অর্থ আইন, ২০১৭",১৪,http://bdlaws.minlaw.gov.bd/act-print-1214.html
২০১৭,"নির্দিষ্টকরণ আইন, ২০১৭",১৫,http://bdlaws.minlaw.gov.bd/act-print-1215.html
২০১৭,"বাংলাদেশ পাট গবেষণা ইনস্টিটিউট আইন, ২০১৭",১৬,http://bdlaws.minlaw.gov.bd/act-print-1216.html
২০১৭,"বাংলাদেশ সড়ক পরিবহণ কর্তৃপক্ষ আইন, ২০১৭",১৭,http://bdlaws.minlaw.gov.bd/act-print-1217.html
২০১৭,"বেসামরিক বিমান চলাচল আইন, ২০১৭",১৮,http://bdlaws.minlaw.gov.bd/act-print-1218.html
২০১৭,"বাংলাদেশ ধান গবেষণা ইনস্টিটিউট আইন, ২০১৭",১৯,http://bdlaws.minlaw.gov.bd/act-print-1219.html
২০১৭,"স্থাবর সম্পত্তি অধিগ্রহণ ও হুকুমদখল আইন, ২০১৭",২১,http://bdlaws.minlaw.gov.bd/act-print-1220.html
২০১৭,"বাংলাদেশ গম ও ভুট্টা গবেষণা ইনস্টিটিউট আইন, ২০১৭",২২,http://bdlaws.minlaw.gov.bd/act-print-1221.html
২০১৭,"বাংলাদেশ পরমাণু শক্তি কমিশন আইন, ২০১৭",২৩,http://bdlaws.minlaw.gov.bd/act-print-1222.html
২০১৭,"[জামালপুর বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়] আইন, ২০১৭",২৪,http://bdlaws.minlaw.gov.bd/act-print-1223.html
