Year,Short Title,Act No,URL
1961,"The Trade Organisations Ordinance, 1961  [Repealed]",XLV,http://bdlaws.minlaw.gov.bd/act-print-311.html
1961,"The Voluntary Social Welfare Agencies (Registration and Control) Ordinance, 1961",XLVI,http://bdlaws.minlaw.gov.bd/act-print-312.html
1961,"The Khulna Development Authority Ordinance, 1961 (East Pakistan Ordinance)  [Repealed]",II,http://bdlaws.minlaw.gov.bd/act-print-313.html
1961,"The Road Transport Corporation Ordinance, 1961 (East Pakistan Ordinance)  [Repealed]",VII,http://bdlaws.minlaw.gov.bd/act-print-314.html
1961,"The Land Dues (Rounding off to Decimal Coins) Ordinance, 1961 (East Pakistan Ordinance)",XVII,http://bdlaws.minlaw.gov.bd/act-print-315.html
1961,"The Government Educational and Training Institutions Ordinance, 1961 (East Pakistan Ordinance)  [Repealed]",XXVI,http://bdlaws.minlaw.gov.bd/act-print-316.html
1961,"The Agricultural University Ordinance, 1961 (East Pakistan Ordinance)",XXVIII,http://bdlaws.minlaw.gov.bd/act-print-317.html
1961,"The Intermediate and Secondary Education Ordinance, 1961 (East Pakistan Ordinance)",XXXIII,http://bdlaws.minlaw.gov.bd/act-print-318.html
1961,"The Engineering and Technological University Ordinance, 1961 (East Pakistan Ordinance)",XXXVI,http://bdlaws.minlaw.gov.bd/act-print-319.html
1961,"The Agricultural Development Corporation Ordinance, 1961 (East Pakistan Ordinance)  [Repealed]",XXXVII,http://bdlaws.minlaw.gov.bd/act-print-320.html
1961,"The Domestic Servants' Registration Ordinance, 1961 (East Pakistan Ordinance)",XLIV,http://bdlaws.minlaw.gov.bd/act-print-321.html
1962,"The Port Authorities Lands and Buildings (Recovery of Possession) Ordinance, 1962",IX,http://bdlaws.minlaw.gov.bd/act-print-322.html
1962,"The Industrial Development Corporation Ordinance, 1962",XXXVII,http://bdlaws.minlaw.gov.bd/act-print-323.html
1962,"The Allopathic System (Prevention of Misuse) Ordinance, 1962",LXV,http://bdlaws.minlaw.gov.bd/act-print-324.html
1962,"The Jute Ordinance, 1962  [Repealed]",LXXIV,http://bdlaws.minlaw.gov.bd/act-print-325.html
1962,"The Waqfs Ordinance, 1962 (East Pakistan Ordinance)",I,http://bdlaws.minlaw.gov.bd/act-print-326.html
1962,"The Prevention of Interference with Aids to Navigation Ordinance, 1962 (East Pakistan Ordinance)",II,http://bdlaws.minlaw.gov.bd/act-print-327.html
1962,"The Agricultural Pests Ordinance, 1962 (East Pakistan Ordinance)",VI,http://bdlaws.minlaw.gov.bd/act-print-328.html
1962,"The Society for the Prevention of Cruelty to Animals Ordinance, 1962 (East Pakistan Ordinance)",XV,http://bdlaws.minlaw.gov.bd/act-print-329.html
1962,"The Registration of Private Schools Ordinance, 1962 (East Pakistan Ordinance)",XX,http://bdlaws.minlaw.gov.bd/act-print-330.html
1963,"The Diplomatic Immunities (Conferences with Commonwealth Countries) Act, 1963",II,http://bdlaws.minlaw.gov.bd/act-print-331.html
1963,"The Cantonments Rent Restriction Act, 1963",XI,http://bdlaws.minlaw.gov.bd/act-print-332.html
1963,"The Indecent Advertisements Prohibition Act, 1963",XII,http://bdlaws.minlaw.gov.bd/act-print-333.html
1963,"The Censorship of Films Act, 1963  [Repealed]",XVIII,http://bdlaws.minlaw.gov.bd/act-print-334.html
1963,"The Services (Temporary Powers) Ordinance, 1963 (East Pakistan Ordinance)",II,http://bdlaws.minlaw.gov.bd/act-print-335.html
1963,"The Chittagong Development Authority (Land Acquisition Validation) Ordinance, 1963 (East Pakistan Ordinance)",VIII,http://bdlaws.minlaw.gov.bd/act-print-336.html
