Year,Short Title,Act No,URL
1978,"The Government Servants (Review of Penalties) (Dissolution of Review Board) Ordinance, 1978",II,http://bdlaws.minlaw.gov.bd/act-print-563.html
1978,"The Prevention of Malaria (Special Provisions) Ordinance, 1978  [Repealed]",IV,http://bdlaws.minlaw.gov.bd/act-print-564.html
1978,"The Bangladesh Council of Scientific and Industrial Research Ordinance, 1978  [Repealed]",V,http://bdlaws.minlaw.gov.bd/act-print-565.html
1978,"The Madrasah Education Ordinance, 1978  [Repealed]",IX,http://bdlaws.minlaw.gov.bd/act-print-566.html
1978,"The Supreme Court Judges (Remuneration and Privileges) Ordinance, 1978  [Repealed]",XI,http://bdlaws.minlaw.gov.bd/act-print-567.html
1978,"The Defence Services Laws Amendment Ordinance, 1978  [Repealed]",XVIII,http://bdlaws.minlaw.gov.bd/act-print-568.html
1978,"The Bangla Academy Ordinance, 1978  [Repealed]",XIX,http://bdlaws.minlaw.gov.bd/act-print-569.html
1978,"The Finance Ordinance, 1978",XXI,http://bdlaws.minlaw.gov.bd/act-print-570.html
1978,"The Appropriation (Railways Supplementary) Ordinance, 1978",XXII,http://bdlaws.minlaw.gov.bd/act-print-571.html
1978,"The Appropriation (Railways) Ordinance, 1978",XXIII,http://bdlaws.minlaw.gov.bd/act-print-572.html
1978,"The Appropriation (Supplementary) Ordinance, 1978",XXIV,http://bdlaws.minlaw.gov.bd/act-print-573.html
1978,"The Appropriation Ordinance, 1978",XXV,http://bdlaws.minlaw.gov.bd/act-print-574.html
1978,"The Asian Reinsurance Corporation Ordinance, 1978  [Repealed]",XXVII,http://bdlaws.minlaw.gov.bd/act-print-575.html
1978,"The Political Parties Ordinance, 1978",XLV,http://bdlaws.minlaw.gov.bd/act-print-576.html
1978,"The Foreign Donations (Voluntary Activities) Regulation Ordinance, 1978  [Repealed]",XLVI,http://bdlaws.minlaw.gov.bd/act-print-577.html
1978,"The Chittagong Metropolitan Police Ordinance, 1978",XLVIII,http://bdlaws.minlaw.gov.bd/act-print-578.html
1978,"The Law Reforms Ordinance, 1978",XLIX,http://bdlaws.minlaw.gov.bd/act-print-579.html
1978,"The International Centre for Diarrhoeal Disease Research, Bangladesh, Ordinance, 1978  [Repealed]",LI,http://bdlaws.minlaw.gov.bd/act-print-580.html
1979,"The Appropriation (Railways Supplementary) Act, 1979",II,http://bdlaws.minlaw.gov.bd/act-print-581.html
1979,"The Appropriation (Railways) Act, 1979",III,http://bdlaws.minlaw.gov.bd/act-print-582.html
1979,"The Appropriation (Supplementary) Act, 1979",IV,http://bdlaws.minlaw.gov.bd/act-print-583.html
1979,"The Finance Act, 1979",V,http://bdlaws.minlaw.gov.bd/act-print-584.html
1979,"The Appropriation Act, 1979",VI,http://bdlaws.minlaw.gov.bd/act-print-585.html
1979,"The Government Servants (Special Provisions) Ordinance, 1979  [Repealed]",XI,http://bdlaws.minlaw.gov.bd/act-print-586.html
1979,"The Bangladesh Telegraph and Telephone Board Ordinance, 1979",XII,http://bdlaws.minlaw.gov.bd/act-print-587.html
1979,"The Railway Property (Unlawful Possession) Ordinance, 1979 [Repealed]",XVII,http://bdlaws.minlaw.gov.bd/act-print-588.html
1979,"The President's Pension Ordinance, 1979  [Repealed]",XVIII,http://bdlaws.minlaw.gov.bd/act-print-589.html
1979,"The Bangladesh Sangbad Sangstha Ordinance, 1979 [Repealed]",XX,http://bdlaws.minlaw.gov.bd/act-print-590.html
1979,"The Leader and Deputy Leader of the Opposition (Remuneration and Privileges) Ordinance, 1979  [Repealed]",XXI,http://bdlaws.minlaw.gov.bd/act-print-591.html
1979,"The Defence Services (Supreme Command) Ordinance, 1979  [Repealed]",XXIII,http://bdlaws.minlaw.gov.bd/act-print-592.html
1979,"The Armed Police Battalions Ordinance, 1979",XXV,http://bdlaws.minlaw.gov.bd/act-print-593.html
1979,"The Foodgrains Supply (Prevention of Prejudicial Activity) Ordinance, 1979  [Repealed]",XXVI,http://bdlaws.minlaw.gov.bd/act-print-594.html
1980,"The University Laws Amendment Act, 1980",I,http://bdlaws.minlaw.gov.bd/act-print-595.html
1980,"The Banks and Financial Institutions Laws Amendment Act, 1980",IX,http://bdlaws.minlaw.gov.bd/act-print-596.html
1980,"The Foreign Private Investment (Promotion and Protection) Act, 1980",XI,http://bdlaws.minlaw.gov.bd/act-print-597.html
1980,"The Note-Books (Prohibition) Act, 1980",XII,http://bdlaws.minlaw.gov.bd/act-print-598.html
1980,"The Ombudsman Act, 1980",XV,http://bdlaws.minlaw.gov.bd/act-print-599.html
1980,"The Medical and Dental Council Act, 1980  [Repealed]",XVI,http://bdlaws.minlaw.gov.bd/act-print-600.html
1980,"The Appropriation (Railways Supplementary) Act, 1980",XX,http://bdlaws.minlaw.gov.bd/act-print-601.html
1980,"The Appropriation (Railways) Act, 1980",XXI,http://bdlaws.minlaw.gov.bd/act-print-602.html
1980,"The Appropriation (Supplementary) Act, 1980",XXII,http://bdlaws.minlaw.gov.bd/act-print-603.html
