Year,Short Title,Act No,URL
২০২৫,"মূল্য সংযোজন কর ও সম্পূরক শুল্ক (সংশোধন) অধ্যাদেশ, ২০২৫",০১,http://bdlaws.minlaw.gov.bd/act-print-1514.html
২০২৫,"The Excises and Salt (Amendment) Ordinance, 2025",০২,http://bdlaws.minlaw.gov.bd/act-print-1515.html
২০২৫,"সুপ্রীম কোর্টের বিচারক নিয়োগ অধ্যাদেশ, ২০২৫",০৩,http://bdlaws.minlaw.gov.bd/act-print-1516.html
২০২৫,"International Crimes (Tribunals) (Amendment) Ordinance, 2025",০৪,http://bdlaws.minlaw.gov.bd/act-print-1517.html
২০২৫,"বিশ্ববিদ্যালয় সংক্রান্ত কতিপয় আইন (সংশোধন) অধ্যাদেশ, ২০২৫",০৫,http://bdlaws.minlaw.gov.bd/act-print-1518.html
২০২৫,"শেখ রাসেল পল্লী উন্নয়ন একাডেমি, রংপুর (সংশোধন) অধ্যাদেশ, ২০২৫",০৬,http://bdlaws.minlaw.gov.bd/act-print-1519.html
২০২৫,"শেখ হাসিনা পল্লী উন্নয়ন একাডেমি, জামালপুর (সংশোধন) অধ্যাদেশ, ২০২৫",০৭,http://bdlaws.minlaw.gov.bd/act-print-1520.html
২০২৫,"বঙ্গবন্ধু দারিদ্র্য বিমোচন ও পল্লী উন্নয়ন একাডেমি (সংশোধন) অধ্যাদেশ, ২০২৫",০৮,http://bdlaws.minlaw.gov.bd/act-print-1521.html
২০২৫,"বঙ্গবন্ধু বিজ্ঞান ও প্রযুক্তি ফেলোশিপ ট্রাস্ট (সংশোধন) অধ্যাদেশ, ২০২৫",০৯,http://bdlaws.minlaw.gov.bd/act-print-1522.html
২০২৫,"বঙ্গবন্ধু শেখ মুজিবুর রহমান নভোথিয়েটার (সংশোধন) অধ্যাদেশ, ২০২৫",১০,http://bdlaws.minlaw.gov.bd/act-print-1523.html
২০২৫,"নারী ও শিশু নির্যাতন দমন (সংশোধন) অধ্যাদেশ, ২০২৫",১১,http://bdlaws.minlaw.gov.bd/act-print-1524.html
২০২৫,"বঙ্গবন্ধু শেখ মুজিব মেডিক্যাল বিশ্ববিদ্যালয় (সংশোধন) অধ্যাদেশ, ২০২৫",১২,http://bdlaws.minlaw.gov.bd/act-print-1525.html
২০২৫,"শেখ হাসিনা মেডিক্যাল বিশ্ববিদ্যালয়, খুলনা, (সংশোধন) অধ্যাদেশ, ২০২৫",১৩,http://bdlaws.minlaw.gov.bd/act-print-1526.html
২০২৫,"বঙ্গমাতা শেখ ফজিলাতুন্নেছা মুজিব মেডিকেল বিশ্ববিদ্যালয়, সিলেট (সংশোধন) অধ্যাদেশ, ২০২৫",১৪,http://bdlaws.minlaw.gov.bd/act-print-1527.html
২০২৫,"পরিত্যক্ত বাড়ি (সম্পূরক বিধানাবলি) (সংশোধন) অধ্যাদেশ, ২০২৫",১৫,http://bdlaws.minlaw.gov.bd/act-print-1528.html
২০২৫,"পাবলিক প্রকিউরমেন্ট (সংশোধন) অধ্যাদেশ, ২০২৫",১৬,http://bdlaws.minlaw.gov.bd/act-print-1529.html
২০২৫,"সরকারি হিসাব নিরীক্ষা অধ্যাদেশ, ২০২৫",১৭,http://bdlaws.minlaw.gov.bd/act-print-1530.html
২০২৫,"Code of Civil Procedure (Amendment) Ordinance, 2025",১৮,http://bdlaws.minlaw.gov.bd/act-print-1531.html
২০২৫,"ব্যাংক রেজল্যুশন অধ্যাদেশ, ২০২৫",১৯,http://bdlaws.minlaw.gov.bd/act-print-1532.html
২০২৫,"International Crimes (Tribunals) (Second Amendment) Ordinance, 2025",২০,http://bdlaws.minlaw.gov.bd/act-print-1533.html
২০২৫,"সন্ত্রাস বিরোধী (সংশোধন) অধ্যাদেশ, ২০২৫",২১,http://bdlaws.minlaw.gov.bd/act-print-1534.html
২০২৫,"গ্রামীণ ব্যাংক (সংশোধন) অধ্যাদেশ, ২০২৫",২২,http://bdlaws.minlaw.gov.bd/act-print-1535.html
২০২৫,"জাতীয় সংসদের নির্বাচনি এলাকার সীমানা নির্ধারণ (সংশোধন) অধ্যাদেশ, ২০২৫",২৩,http://bdlaws.minlaw.gov.bd/act-print-1536.html
২০২৫,"রাজস্ব নীতি ও রাজস্ব ব্যবস্থাপনা অধ্যাদেশ, ২০২৫",২৪,http://bdlaws.minlaw.gov.bd/act-print-1537.html
২০২৫,"সাইবার সুরক্ষা অধ্যাদেশ, ২০২৫",২৫,http://bdlaws.minlaw.gov.bd/act-print-1538.html
২০২৫,"সরকারি চাকরি (সংশোধন) অধ্যাদেশ, ২০২৫",২৬,http://bdlaws.minlaw.gov.bd/act-print-1539.html
২০২৫,"বঙ্গবন্ধু ক্রীড়াসেবী কল্যাণ ফাউন্ডেশন (সংশোধন) অধ্যাদেশ, ২০২৫",২৭,http://bdlaws.minlaw.gov.bd/act-print-1540.html
২০২৫,"জাতীয় মুক্তিযোদ্ধা কাউন্সিল (সংশোধন) অধ্যাদেশ, ২০২৫",২৯,http://bdlaws.minlaw.gov.bd/act-print-1542.html
২০২৫,"জুলাই গণঅভ্যুত্থানে শহিদ পরিবার এবং জুলাই যোদ্ধাদের কল্যাণ ও পুনর্বাসন অধ্যাদেশ, ২০২৫",৩০,http://bdlaws.minlaw.gov.bd/act-print-1543.html
২০২৫,"নির্দিষ্টকরণ (সম্পূরক) অধ্যাদেশ, ২০২৫",৩১,http://bdlaws.minlaw.gov.bd/act-print-1544.html
২০২৫,"নির্দিষ্টকরণ অধ্যাদেশ, ২০২৫",৩২,http://bdlaws.minlaw.gov.bd/act-print-1545.html
২০২৫,"Protection and Conservation of Fish (Amendment) Ordinance, 2025",৩৪,http://bdlaws.minlaw.gov.bd/act-print-1547.html
২০২৫,"আইনগত সহায়তা প্রদান (সংশোধন) অধ্যাদেশ, ২০২৫",৩৫,http://bdlaws.minlaw.gov.bd/act-print-1548.html
