Year,Short Title,Act No,URL
২০১২,"দেওয়াল লিখন ও পোস্টার লাগানো (নিয়ন্ত্রণ) আইন, ২০১২",১,http://bdlaws.minlaw.gov.bd/act-print-1084.html
২০১২,"Public Servants (Retirement) (Amendment) Act, 2012",২,http://bdlaws.minlaw.gov.bd/act-print-1085.html
২০১২,"মানব পাচার প্রতিরোধ ও দমন আইন, ২০১২",৩,http://bdlaws.minlaw.gov.bd/act-print-1086.html
২০১২,"অপরাধ সম্পর্কিত বিষয়ে পারস্পরিক সহায়তা আইন, ২০১২",৪,http://bdlaws.minlaw.gov.bd/act-print-1087.html
২০১২,"মানিলন্ডারিং প্রতিরোধ আইন, ২০১২",৫,http://bdlaws.minlaw.gov.bd/act-print-1088.html
২০১২,"ঢাকা পরিবহন সমন্বয় কর্তৃপক্ষ আইন, ২০১২",৮,http://bdlaws.minlaw.gov.bd/act-print-1090.html
২০১২,"পর্নোগ্রাফি নিয়ন্ত্রণ আইন, ২০১২",৯,http://bdlaws.minlaw.gov.bd/act-print-1091.html
২০১২,"বাংলাদেশ কৃষি গবেষণা কাউন্সিল আইন, ২০১২",১৩,http://bdlaws.minlaw.gov.bd/act-print-1092.html
২০১২,"পল্লী উন্নয়ন একাডেমি, গোপালগঞ্জ আইন, ২০১২",১৪,http://bdlaws.minlaw.gov.bd/act-print-1093.html
২০১২,"প্রধানমন্ত্রীর শিক্ষা সহায়তা ট্রাস্ট আইন, ২০১২",১৫,http://bdlaws.minlaw.gov.bd/act-print-1094.html
২০১২,"বাংলাদেশ ফলিত পুষ্টি গবেষণা ও প্রশিক্ষণ ইনস্টিটিউট আইন, ২০১২",১৮,http://bdlaws.minlaw.gov.bd/act-print-1095.html
২০১২,"বাংলাদেশ পরমাণু শক্তি নিয়ন্ত্রণ আইন, ২০১২",১৯,http://bdlaws.minlaw.gov.bd/act-print-1096.html
২০১২,"নির্দিষ্টকরণ (সম্পূরক) আইন, ২০১২",২০,http://bdlaws.minlaw.gov.bd/act-print-1097.html
২০১২,"প্রতিযোগিতা আইন, ২০১২",২৩,http://bdlaws.minlaw.gov.bd/act-print-1098.html
২০১২,"পণ্য উৎপাদনশীল রাষ্ট্রীয় শিল্প প্রতিষ্ঠান শ্রমিক (চাকুরীর শর্তাবলী) আইন, ২০১২ [রহিত]",২৪,http://bdlaws.minlaw.gov.bd/act-print-1099.html
২০১২,"নির্দিষ্টকরণ আইন, ২০১২",২৭,http://bdlaws.minlaw.gov.bd/act-print-1100.html
২০১২,"পাবলিক বিশ্ববিদ্যালয় শিক্ষক (অবসর গ্রহণ) (বিশেষ বিধান) আইন, ২০১২",২৯,http://bdlaws.minlaw.gov.bd/act-print-1101.html
২০১২,"বন্যপ্রাণী (সংরক্ষণ ও নিরাপত্তা) আইন, ২০১২",৩০,http://bdlaws.minlaw.gov.bd/act-print-1102.html
২০১২,"দুর্যোগ ব্যবস্থাপনা আইন, ২০১২",৩৪,http://bdlaws.minlaw.gov.bd/act-print-1103.html
২০১২,"পাওয়ার অব অ্যাটর্নি আইন, ২০১২",৩৫,http://bdlaws.minlaw.gov.bd/act-print-1104.html
২০১২,"হিন্দু বিবাহ নিবন্ধন আইন, ২০১২",৪০,http://bdlaws.minlaw.gov.bd/act-print-1105.html
২০১২,"মূল্য সংযোজন কর ও সম্পূরক শুল্ক আইন, ২০১২",৪৭,http://bdlaws.minlaw.gov.bd/act-print-1106.html
২০১২,"টেকসই ও নবায়নযোগ্য জ্বালানি উন্নয়ন কর্তৃপক্ষ আইন, ২০১২",৪৮,http://bdlaws.minlaw.gov.bd/act-print-1107.html
