Year,Short Title,Act No,URL
1983,"The Chief Election Commissioner and Election Commissioners (Remuneration and Privileges) Ordinance, 1983",LVI,http://bdlaws.minlaw.gov.bd/act-print-655.html
1983,"The National Curriculum and Text-Book Board Ordinance, 1983  [Repealed]",LVII,http://bdlaws.minlaw.gov.bd/act-print-656.html
1983,"The Bangladesh Krira Shikkha Protishtan Ordinance, 1983  [Repealed]",LVIII,http://bdlaws.minlaw.gov.bd/act-print-657.html
1983,"The Bangladesh Nursing Council Ordinance, 1983  [Repealed]",LXI,http://bdlaws.minlaw.gov.bd/act-print-658.html
1983,"The Santosh Islamic University (Board of Trustees) Ordinance, 1983",LXV,http://bdlaws.minlaw.gov.bd/act-print-659.html
1983,"The Hindu Religious Welfare Trust Ordinance, 1983  [Repealed]",LXVIII,http://bdlaws.minlaw.gov.bd/act-print-660.html
1983,"The Buddhist Religious Welfare Trust Ordinance, 1983  [Repealed]",LXIX,http://bdlaws.minlaw.gov.bd/act-print-661.html
1983,"The Christian Religious Welfare Trust Ordinance, 1983  [Repealed]",LXX,http://bdlaws.minlaw.gov.bd/act-print-662.html
1983,"The Foreign Voluntary Organisations (Acquisition of Immovable Property) Regulation Ordinance, 1983",LXXIII,http://bdlaws.minlaw.gov.bd/act-print-663.html
1984,"The Bangladesh Institute of Nuclear Agriculture Ordinance, 1984 (Ordinance) [Repealed]",II,http://bdlaws.minlaw.gov.bd/act-print-664.html
1984,"The Land Reforms Ordinance, 1984  [Repealed]",X,http://bdlaws.minlaw.gov.bd/act-print-665.html
1984,"The Agricultural Labour (Minimum Wages) Ordinance, 1984",XVII,http://bdlaws.minlaw.gov.bd/act-print-666.html
1984,"The Bangladesh Public Administration Training Centre Ordinance, 1984  [Repealed]",XXVI,http://bdlaws.minlaw.gov.bd/act-print-667.html
1984,"The Bangladesh Institute of International and Strategic Studies Ordinance, 1984  [Repealed]",XXVII,http://bdlaws.minlaw.gov.bd/act-print-668.html
1984,"The Livestock Research Institute Ordinance, 1984  [Repealed]",XXVIII,http://bdlaws.minlaw.gov.bd/act-print-669.html
1984,"The Industrial Relations (Regulation) (Repeal) Ordinance, 1984",XXXII,http://bdlaws.minlaw.gov.bd/act-print-670.html
1984,"The Breast-Milk Substitutes (Regulation of Marketing) Ordinance, 1984  [Repealed]",XXXIII,http://bdlaws.minlaw.gov.bd/act-print-671.html
1984,"The Income-tax Ordinance, 1984 [Repealed]",XXXVI,http://bdlaws.minlaw.gov.bd/act-print-672.html
