Year,Short Title,Act No,URL
২০২০,"বাংলাদেশ ট্যারিফ কমিশন (সংশোধন) আইন, ২০২০",১,http://bdlaws.minlaw.gov.bd/act-print-1306.html
২০২০,"ভোটার তালিকা (সংশোধন) আইন, ২০২০",২,http://bdlaws.minlaw.gov.bd/act-print-1307.html
২০২০,"বাংলাদেশ ক্রীড়া শিক্ষা প্রতিষ্ঠান আইন, ২০২০",৩,http://bdlaws.minlaw.gov.bd/act-print-1298.html
২০২০,"স্বায়ত্তশাসিত, আধা-স্বায়ত্তশাসিত, সংবিধিবদ্ধ সরকারি কর্তৃপক্ষ, পাবলিক নন-ফাইন্যানশিয়াল কর্পোরেশনসহ স্ব-শাসিত সংস্থাসমূহের তহবিলের উদ্বৃত্ত অর্থ সরকারি কোষাগারে জমা প্রদান আইন, ২০২০",৪,http://bdlaws.minlaw.gov.bd/act-print-1299.html
২০২০,"বাংলাদেশ সড়ক পরিবহণ কর্পোরেশন আইন, ২০২০",৫,http://bdlaws.minlaw.gov.bd/act-print-1300.html
২০২০,"বাংলাদেশ বাতিঘর আইন, ২০২০",৬,http://bdlaws.minlaw.gov.bd/act-print-1301.html
২০২০,"কোম্পানী (সংশোধন) আইন, ২০২০",৭,http://bdlaws.minlaw.gov.bd/act-print-1308.html
২০২০,"নির্দিষ্টকরণ (সম্পূরক) আইন, ২০২০",৮,http://bdlaws.minlaw.gov.bd/act-print-1302.html
২০২০,"অর্থ আইন, ২০২০",৯,http://bdlaws.minlaw.gov.bd/act-print-1303.html
২০২০,"নির্দিষ্টকরণ আইন, ২০২০",১০,http://bdlaws.minlaw.gov.bd/act-print-1304.html
২০২০,"আদালত কর্তৃক তথ্য-প্রযুক্তি ব্যবহার আইন, ২০২০",১১,http://bdlaws.minlaw.gov.bd/act-print-1305.html
২০২০,"Bangladesh Bank (Amendment) Act, 2020",১২,http://bdlaws.minlaw.gov.bd/act-print-1309.html
২০২০,"গাজীপুর উন্নয়ন কর্তৃপক্ষ আইন, ২০২০",১৩,http://bdlaws.minlaw.gov.bd/act-print-1323.html
২০২০,"বাংলাদেশ প্রকৌশল গবেষণা কাউন্সিল আইন, ২০২০",১৪,http://bdlaws.minlaw.gov.bd/act-print-1327.html
২০২০,"বাংলাদেশ রেফারেন্স ইনস্টিটিউট ফর কেমিক্যাল মেজারমেন্টস্ আইন, ২০২০",১৫,http://bdlaws.minlaw.gov.bd/act-print-1331.html
২০২০,"চাঁদপুর বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয় আইন, ২০২০",১৬,http://bdlaws.minlaw.gov.bd/act-print-1333.html
২০২০,"[কিশোরগঞ্জ বিশ্ববিদ্যালয়] আইন, ২০২০",১৭,http://bdlaws.minlaw.gov.bd/act-print-1339.html
২০২০,"হবিগঞ্জ কৃষি বিশ্ববিদ্যালয় আইন, ২০২০",১৮,http://bdlaws.minlaw.gov.bd/act-print-1341.html
২০২০,"সামুদ্রিক মৎস্য (Marine Fisheries) আইন, ২০২০",১৯,http://bdlaws.minlaw.gov.bd/act-print-1347.html
২০২০,"মৎস্য ও মৎস্যপণ্য (পরিদর্শন ও মান নিয়ন্ত্রণ) আইন, ২০২০",২০,http://bdlaws.minlaw.gov.bd/act-print-1348.html
২০২০,"আকাশপথে পরিবহণ (মন্ট্রিল কনভেনশন) আইন, ২০২০",২১,http://bdlaws.minlaw.gov.bd/act-print-1349.html
২০২০,"নারী ও শিশু নির্যাতন দমন (সংশোধন) আইন, ২০২০",২২,http://bdlaws.minlaw.gov.bd/act-print-1351.html
২০২০,"সুনামগঞ্জ বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয় আইন, ২০২০",২৩,http://bdlaws.minlaw.gov.bd/act-print-1350.html
২০২০,"কোম্পানী (দ্বিতীয় সংশোধন) আইন, ২০২০",২৪,http://bdlaws.minlaw.gov.bd/act-print-1353.html
২০২০,"বাংলাদেশ এনার্জি রেগুলেটরি কমিশন (সংশোধন) আইন, ২০২০",২৫,http://bdlaws.minlaw.gov.bd/act-print-1354.html
২০২০,"মাদকদ্রব্য নিয়ন্ত্রণ (সংশোধন) আইন, ২০২০",২৬,http://bdlaws.minlaw.gov.bd/act-print-1355.html
২০২০,"বাংলাদেশ মাদ্রাসা শিক্ষা বোর্ড আইন, ২০২০",২৭,http://bdlaws.minlaw.gov.bd/act-print-1352.html
