Year,Short Title,Act No,URL
২০১৮,"বাংলাদেশ কলেজ অব ফিজিশিয়ানস্ এন্ড সার্জনস্ আইন, ২০১৮",২,http://bdlaws.minlaw.gov.bd/act-print-1224.html
২০১৮,"রাজশাহী উন্নয়ন কর্তৃপক্ষ আইন, ২০১৮",৩,http://bdlaws.minlaw.gov.bd/act-print-1225.html
২০১৮,"কৃষি কাজে ভূগর্ভস্থ পানি ব্যবস্থাপনা আইন, ২০১৮",৫,http://bdlaws.minlaw.gov.bd/act-print-1226.html
২০১৮,"বীজ আইন, ২০১৮",৬,http://bdlaws.minlaw.gov.bd/act-print-1227.html
২০১৮,"বিদ্যুৎ আইন, ২০১৮",৭,http://bdlaws.minlaw.gov.bd/act-print-1228.html
২০১৮,"বাংলাদেশ জাহাজ পুনঃপ্রক্রিয়াজাতকরণ আইন, ২০১৮",৮,http://bdlaws.minlaw.gov.bd/act-print-1229.html
২০১৮,"[নেত্রকোণা বিশ্ববিদ্যালয়] আইন, ২০১৮",৯,http://bdlaws.minlaw.gov.bd/act-print-1230.html
২০১৮,"ওয়ান স্টপ সার্ভিস আইন, ২০১৮",১০,http://bdlaws.minlaw.gov.bd/act-print-1231.html
২০১৮,"কবি নজরুল ইনস্টিটিউট আইন, ২০১৮",১২,http://bdlaws.minlaw.gov.bd/act-print-1232.html
২০১৮,"প্রতিরক্ষা-বাহিনীসমূহের প্রধানদের (নিয়োগ, বেতন, ভাতা এবং অন্যান্য সুবিধা) আইন, ২০১৮",১৩,http://bdlaws.minlaw.gov.bd/act-print-1233.html
২০১৮,"জাতীয় যুব উন্নয়ন ইনস্টিটিউট আইন, ২০১৮",১৪,http://bdlaws.minlaw.gov.bd/act-print-1234.html
২০১৮,"বাংলাদেশ পল্লী উন্নয়ন বোর্ড আইন, ২০১৮",১৫,http://bdlaws.minlaw.gov.bd/act-print-1235.html
২০১৮,"বৌদ্ধ ধর্মীয় কল্যাণ ট্রাস্ট আইন, ২০১৮",১৭,http://bdlaws.minlaw.gov.bd/act-print-1236.html
২০১৮,"খ্রিস্টান ধর্মীয় কল্যাণ ট্রাস্ট আইন, ২০১৮",১৮,http://bdlaws.minlaw.gov.bd/act-print-1237.html
২০১৮,"গাজীপুর মহানগরী পুলিশ আইন, ২০১৮",১৯,http://bdlaws.minlaw.gov.bd/act-print-1238.html
২০১৮,"রংপুর মহানগরী পুলিশ আইন, ২০১৮",২০,http://bdlaws.minlaw.gov.bd/act-print-1239.html
২০১৮,"নির্দিষ্টকরণ (সম্পূরক) আইন, ২০১৮",২১,http://bdlaws.minlaw.gov.bd/act-print-1240.html
২০১৮,"অর্থ আইন, ২০১৮",২২,http://bdlaws.minlaw.gov.bd/act-print-1241.html
২০১৮,"নির্দিষ্টকরণ আইন, ২০১৮",২৩,http://bdlaws.minlaw.gov.bd/act-print-1242.html
২০১৮,"বালাইনাশক (পেস্টিসাইডস) আইন, ২০১৮",২৪,http://bdlaws.minlaw.gov.bd/act-print-1243.html
২০১৮,"বাংলাদেশ শিল্প প্রতিষ্ঠান জাতীয়করণ আইন, ২০১৮",২৫,http://bdlaws.minlaw.gov.bd/act-print-1244.html
২০১৮,"Sugar (Road Development Cess) (রহিতকরণ) আইন, ২০১৮",২৬,http://bdlaws.minlaw.gov.bd/act-print-1245.html
