Year,Short Title,Act No,URL
২০২১,"Intermediate and Secondary Education (Amendment) Act, 2021",০১,http://bdlaws.minlaw.gov.bd/act-print-1366.html
২০২১,"বাংলাদেশ কারিগরি শিক্ষা বোর্ড (সংশোধন) আইন, ২০২১",০২,http://bdlaws.minlaw.gov.bd/act-print-1367.html
২০২১,"বাংলাদেশ মাদ্রাসা শিক্ষাবোর্ড (সংশোধন) আইন, ২০২১",০৩,http://bdlaws.minlaw.gov.bd/act-print-1368.html
২০২১,"বাংলাদেশ ট্রাভেল এজেন্সি (নিবন্ধন ও নিয়ন্ত্রণ) (সংশোধন) আইন, ২০২১",০৪,http://bdlaws.minlaw.gov.bd/act-print-1369.html
২০২১,"The Civil Courts (Amendment) Act, 2021",০৫,http://bdlaws.minlaw.gov.bd/act-print-1370.html
২০২১,"খুলনা মেডিক্যাল বিশ্ববিদ্যালয়, আইন, ২০২১",০৬,http://bdlaws.minlaw.gov.bd/act-print-1371.html
২০২১,"নির্দিষ্টকরণ (সম্পূরক) আইন, ২০২১",০৭,http://bdlaws.minlaw.gov.bd/act-print-1372.html
২০২১,"আয়োডিনযুক্ত লবণ আইন, ২০২১",০৮,http://bdlaws.minlaw.gov.bd/act-print-1373.html
২০২১,"হজ ও ওমরাহ ব্যবস্থাপনা আইন, ২০২১",০৯,http://bdlaws.minlaw.gov.bd/act-print-1374.html
২০২১,"শিশু দিবাযত্ন কেন্দ্র আইন, ২০২১",১০,http://bdlaws.minlaw.gov.bd/act-print-1375.html
২০২১,"অর্থ আইন, ২০২১",১১,http://bdlaws.minlaw.gov.bd/act-print-1376.html
২০২১,"নির্দিষ্টকরণ আইন, ২০২১",১২,http://bdlaws.minlaw.gov.bd/act-print-1377.html
২০২১,"বাংলাদেশ চলচ্চিত্র শিল্পী কল্যাণ ট্রাস্ট আইন, ২০২১",১৩,http://bdlaws.minlaw.gov.bd/act-print-1378.html
২০২১,"জাতীয় সংসদের নির্বাচনি এলাকার সীমানা নির্ধারণ আইন, ২০২১",১৪,http://bdlaws.minlaw.gov.bd/act-print-1379.html
২০২১,"গান্ধী আশ্রম (ট্রাস্টি বোর্ড) আইন, ২০২১",১৫,http://bdlaws.minlaw.gov.bd/act-print-1380.html
২০২১,"Bangladesh Legal Practitioners and Bar Council (Amendment) Act, 2021",১৬,http://bdlaws.minlaw.gov.bd/act-print-1381.html
২০২১,"Medical Colleges (Governing Bodies) (Repeal) Act, 2021",১৭,http://bdlaws.minlaw.gov.bd/act-print-1382.html
২০২১,"Medical Degrees (Repeal) Act, 2021",১৮,http://bdlaws.minlaw.gov.bd/act-print-1383.html
২০২১,"বাংলাদেশ শিশু হাসপাতাল ও ইনস্টিটিউট আইন, ২০২১",১৯,http://bdlaws.minlaw.gov.bd/act-print-1384.html
২০২১,"কুড়িগ্রাম কৃষি বিশ্ববিদ্যালয় আইন,   ২০২১",২০,http://bdlaws.minlaw.gov.bd/act-print-1385.html
২০২১,"বাংলাদেশ জাতীয় আরকাইভস আইন, ২০২১",২১,http://bdlaws.minlaw.gov.bd/act-print-1386.html
২০২১,"বিদ্যুৎ ও জ্বালানীর  দ্রুত সরবরাহ বৃদ্ধি (বিশেষ বিধান) (সংশোধন) আইন, ২০২১",২২,http://bdlaws.minlaw.gov.bd/act-print-1387.html
২০২১,"বিরোধীদলের নেতা এবং উপনেতা (পারিতোষিক ও বিশেষাধিকার) আইন, ২০২১",২৩,http://bdlaws.minlaw.gov.bd/act-print-1388.html
২০২১,"বিশেষ নিরাপত্তা বাহিনী (Special Security Force) আইন, ২০২১",২৪,http://bdlaws.minlaw.gov.bd/act-print-1389.html
২০২১,"Bangladesh House Building Finance Corporation (Amendment) Act,  2021",২৫,http://bdlaws.minlaw.gov.bd/act-print-1390.html
২০২১,"বাংলাদেশ ট্যুর অপারেটর ও ট্যুর গাইড (নিবন্ধন ও পরিচালনা) আইন, ২০২১",২৬,http://bdlaws.minlaw.gov.bd/act-print-1391.html
২০২১,"ব্যাংকার বহি সাক্ষ্য আইন, ২০২১",২৭,http://bdlaws.minlaw.gov.bd/act-print-1392.html
২০২১,"মহাসড়ক আইন, ২০২১",২৮,http://bdlaws.minlaw.gov.bd/act-print-1393.html
২০২১,"Territorial Waters and Maritime Zones (Amendment) Act, 2021",২৯,http://bdlaws.minlaw.gov.bd/act-print-1394.html
২০২১,"বাংলাদেশ সুপ্রীম কোর্টের বিচারক (পারিতোষিক ও বিশেষাধিকার) আইন, ২০২১",৩০,http://bdlaws.minlaw.gov.bd/act-print-1395.html
২০২১,"বাংলাদেশ সুপ্রীম কোর্টের বিচারক (ভ্রমণ ভাতা) আইন, ২০২১",৩১,http://bdlaws.minlaw.gov.bd/act-print-1396.html
