Year,Short Title,Act No,URL
১৯৯৫,"বাংলাদেশ পরিবেশ সংরক্ষণ আইন, ১৯৯৫",১,http://bdlaws.minlaw.gov.bd/act-print-791.html
১৯৯৫,"আনসার বাহিনী আইন, ১৯৯৫",৩,http://bdlaws.minlaw.gov.bd/act-print-792.html
১৯৯৫,"ব্যাটালিয়ন আনসার আইন, ১৯৯৫ [রহিত]",৪,http://bdlaws.minlaw.gov.bd/act-print-793.html
১৯৯৫,"গ্রাম প্রতিরক্ষা দল আইন, ১৯৯৫",৫,http://bdlaws.minlaw.gov.bd/act-print-794.html
১৯৯৫,"নির্দিষ্টকরণ (সম্পূরক) আইন, ১৯৯৫",১১,http://bdlaws.minlaw.gov.bd/act-print-795.html
১৯৯৫,"অর্থ আইন, ১৯৯৫",১২,http://bdlaws.minlaw.gov.bd/act-print-796.html
১৯৯৫,"নির্দিষ্টকরণ আইন, ১৯৯৫",১৩,http://bdlaws.minlaw.gov.bd/act-print-797.html
১৯৯৫,"যমুনা বহুমুখী সেতু প্রকল্প (ভূমি অধিগ্রহণ) আইন, ১৯৯৫",১৪,http://bdlaws.minlaw.gov.bd/act-print-798.html
১৯৯৫,"বিচার প্রশাসন প্রশিক্ষণ ইনস্টিটিউট আইন, ১৯৯৫",১৫,http://bdlaws.minlaw.gov.bd/act-print-799.html
১৯৯৫,"আনসার-ভিডিপি উন্নয়ন ব্যাংক আইন, ১৯৯৫",২১,http://bdlaws.minlaw.gov.bd/act-print-800.html
১৯৯৫,"জাতীয় গ্রন্থকেন্দ্র আইন, ১৯৯৫",২৭,http://bdlaws.minlaw.gov.bd/act-print-801.html
১৯৯৬,"সংযুক্ত তহবিল (সম্পূরক মঞ্জুরী দান ও নির্দিষ্টকরণ) আইন, ১৯৯৬",২,http://bdlaws.minlaw.gov.bd/act-print-802.html
১৯৯৬,"সংযুক্ত তহবিল (অগ্রিম মঞ্জুরী দান ও নির্দিষ্টকরণ) আইন, ১৯৯৬",৩,http://bdlaws.minlaw.gov.bd/act-print-803.html
১৯৯৬,"পানি সরবরাহ ও পয়ঃনিষ্কাশন কর্তৃপক্ষ আইন, ১৯৯৬",৬,http://bdlaws.minlaw.gov.bd/act-print-804.html
১৯৯৬,"বাংলাদেশ কৃষি গবেষণা কাউন্সিল আইন, ১৯৯৬ [রহিত]",৭,http://bdlaws.minlaw.gov.bd/act-print-805.html
১৯৯৬,"বাংলাদেশ ইক্ষু গবেষণা ইনষ্টিটিউট আইন, ১৯৯৬ [রহিত]",১১,http://bdlaws.minlaw.gov.bd/act-print-806.html
১৯৯৬,"নির্দিষ্টকরণ আইন, ১৯৯৬",১৭,http://bdlaws.minlaw.gov.bd/act-print-807.html
১৯৯৬,"অর্থ আইন, ১৯৯৬",১৮,http://bdlaws.minlaw.gov.bd/act-print-808.html
১৯৯৬,"আইন কমিশন আইন, ১৯৯৬",১৯,http://bdlaws.minlaw.gov.bd/act-print-809.html
১৯৯৬,"বাংলাদেশ বেসরকারী রপ্তানী প্রক্রিয়াকরণ অঞ্চল আইন, ১৯৯৬",২০,http://bdlaws.minlaw.gov.bd/act-print-810.html
১৯৯৬,"The Indemnity (Repeal) Act, 1996",২১,http://bdlaws.minlaw.gov.bd/act-print-811.html
১৯৯৭,"দেউলিয়া বিষয়ক আইন, ১৯৯৭",১০,http://bdlaws.minlaw.gov.bd/act-print-812.html
১৯৯৭,"বাংলাদেশ কমার্স এন্ড ইনভেষ্টমেন্ট লিমিটেড (পুনর্গঠন) আইন, ১৯৯৭",১২,http://bdlaws.minlaw.gov.bd/act-print-813.html
১৯৯৭,"নির্দিষ্টকরণ (সম্পূরক) আইন, ১৯৯৭",১৪,http://bdlaws.minlaw.gov.bd/act-print-814.html
১৯৯৭,"অর্থ আইন, ১৯৯৭",১৫,http://bdlaws.minlaw.gov.bd/act-print-815.html
১৯৯৭,"নির্দিষ্টকরণ আইন, ১৯৯৭",১৬,http://bdlaws.minlaw.gov.bd/act-print-816.html
১৯৯৭,"বিমান-নিরাপত্তা বিরোধী অপরাধ দমন আইন, ১৯৯৭",১৭,http://bdlaws.minlaw.gov.bd/act-print-817.html
১৯৯৮,"বাংলাদেশ মেডিক্যাল বিশ্ববিদ্যালয় আইন, ১৯৯৮",১,http://bdlaws.minlaw.gov.bd/act-print-818.html
১৯৯৮,"মহা হিসাব নিরীক্ষক ও নিয়ন্ত্রক (পারিশ্রমিক ও বিশেষ অধিকার) আইন, ১৯৯৮",৪,http://bdlaws.minlaw.gov.bd/act-print-819.html
১৯৯৮,"কর্মসংস্থান ব্যাংক আইন, ১৯৯৮",৭,http://bdlaws.minlaw.gov.bd/act-print-820.html
১৯৯৮,"বাংলাদেশ লোক ও কারুশিল্প ফাউন্ডেশন আইন, ১৯৯৮",৮,http://bdlaws.minlaw.gov.bd/act-print-821.html
