Year,Short Title,Act No,URL
1899,"The Government Buildings Act, 1899",IV,http://bdlaws.minlaw.gov.bd/act-print-78.html
1899,"The Church of Scotland Kirk Sessions Act, 1899",XXIII,http://bdlaws.minlaw.gov.bd/act-print-79.html
1900,"The Chittagong Hill-tracts Regulation, 1900",I,http://bdlaws.minlaw.gov.bd/act-print-1313.html
1900,"The Prisoners Act, 1900",III,http://bdlaws.minlaw.gov.bd/act-print-80.html
1901,"The Tolls (Army and Air-Force)Act, 1901",II,http://bdlaws.minlaw.gov.bd/act-print-81.html
1903,"The Works of Defence Act, 1903",VII,http://bdlaws.minlaw.gov.bd/act-print-82.html
1903,"The Foreign Marriage Act, 1903",XIV,http://bdlaws.minlaw.gov.bd/act-print-83.html
1904,"The Public Parks Act, 1904",II,http://bdlaws.minlaw.gov.bd/act-print-84.html
1905,"The Smoke-Nuisances Act, 1905",III,http://bdlaws.minlaw.gov.bd/act-print-85.html
1908,"The Code of Civil Procedure, 1908",V,http://bdlaws.minlaw.gov.bd/act-print-86.html
