Year,Short Title,Act No,URL
1973,"The Bangladesh Laws (Revision And Declaration) Act, 1973",VIII,http://bdlaws.minlaw.gov.bd/act-print-430.html
1973,"The Bangladesh Rice Research Institute Act, 1973  [Repealed]",X,http://bdlaws.minlaw.gov.bd/act-print-431.html
1973,"The Finance Act, 1973",XI,http://bdlaws.minlaw.gov.bd/act-print-432.html
1973,"The Appropriation (Railways) Act, 1973",XII,http://bdlaws.minlaw.gov.bd/act-print-433.html
1973,"The Appropriation Act, 1973",XVI,http://bdlaws.minlaw.gov.bd/act-print-434.html
1973,"The International Crimes (Tribunals) Act, 1973",XIX,http://bdlaws.minlaw.gov.bd/act-print-435.html
1973,"The Bangladesh Fisheries Development Corporation Act, 1973",XXII,http://bdlaws.minlaw.gov.bd/act-print-436.html
1973,"The Printing Presses and Publications (Declaration and Registration) Act, 1973",XXIII,http://bdlaws.minlaw.gov.bd/act-print-437.html
1973,"The Rajshahi University Act, 1973",XXVI,http://bdlaws.minlaw.gov.bd/act-print-438.html
1973,"The Bangladesh Girl Guides Association Act, 1973",XXXI,http://bdlaws.minlaw.gov.bd/act-print-439.html
