Year,Short Title,Act No,URL
২০১৩,"আদালত অবমাননা আইন, ২০১৩",৪,http://bdlaws.minlaw.gov.bd/act-print-1108.html
২০১৩,"ওয়াক্‌ফ (সম্পত্তি হস্তান্তর ও উন্নয়ন) বিশেষ বিধান আইন, ২০১৩",৫,http://bdlaws.minlaw.gov.bd/act-print-1109.html
২০১৩,"১৯৭৫ সালের ১৫ আগস্ট  হইতে ১৯৭৯ সালের ৯ এপ্রিল তারিখ পর্যন্ত সময়ের মধ্যে জারীকৃত কতিপয় অধ্যাদেশ কার্যকরকরণ (বিশেষ বিধান) আইন, ২০১৩",৬,http://bdlaws.minlaw.gov.bd/act-print-1110.html
২০১৩,"১৯৮২ সালের ২৪ মার্চ হইতে ১৯৮৬ সালের ১১ নভেম্বর তারিখ পর্যন্ত সময়ের মধ্যে জারীকৃত কতিপয় অধ্যাদেশ কার্যকরকরণ (বিশেষ বিধান) আইন,২০১৩",৭,http://bdlaws.minlaw.gov.bd/act-print-1111.html
২০১৩,"পরিসংখ্যান আইন, ২০১৩",১২,http://bdlaws.minlaw.gov.bd/act-print-1112.html
২০১৩,"বাংলাদেশ রেশম উন্নয়ন বোর্ড আইন, ২০১৩",১৩,http://bdlaws.minlaw.gov.bd/act-print-1113.html
২০১৩,"বাংলাদেশ পানি আইন, ২০১৩",১৪,http://bdlaws.minlaw.gov.bd/act-print-1114.html
২০১৩,"এক্সচেঞ্জেস ডিমিউচ্যুয়ালাইজেশন আইন, ২০১৩",১৫,http://bdlaws.minlaw.gov.bd/act-print-1115.html
২০১৩,"বাংলাদেশ রাবার বোর্ড আইন, ২০১৩",১৯,http://bdlaws.minlaw.gov.bd/act-print-1116.html
২০১৩,"নির্দিষ্টকরণ (সম্পূরক) আইন, ২০১৩",২১,http://bdlaws.minlaw.gov.bd/act-print-1117.html
২০১৩,"বাংলাদেশ চলচ্চিত্র এবং টেলিভিশন ইনস্টিটিউট আইন, ২০১৩",২৩,http://bdlaws.minlaw.gov.bd/act-print-1118.html
২০১৩,"শিশু আইন, ২০১৩",২৪,http://bdlaws.minlaw.gov.bd/act-print-1119.html
২০১৩,"নির্দিষ্টকরণ আইন, ২০১৩",২৬,http://bdlaws.minlaw.gov.bd/act-print-1120.html
২০১৩,"সড়ক রক্ষণাবেক্ষণ তহবিল বোর্ড আইন, ২০১৩",২৮,http://bdlaws.minlaw.gov.bd/act-print-1121.html
২০১৩,"জাতীয় নদী রক্ষা কমিশন আইন, ২০১৩",২৯,http://bdlaws.minlaw.gov.bd/act-print-1122.html
২০১৩,"বাংলা একাডেমি আইন, ২০১৩",৩৩,http://bdlaws.minlaw.gov.bd/act-print-1123.html
২০১৩,"মাতৃদুগ্ধ বিকল্প, শিশু খাদ্য, বাণিজ্যিকভাবে প্রস্ত্ততকৃত শিশুর বাড়তি খাদ্য ও উহা ব্যবহারের সরঞ্জামাদি (বিপণন নিয়ন্ত্রণ) আইন, ২০১৩",৩৫,http://bdlaws.minlaw.gov.bd/act-print-1124.html
