Year,Short Title,Act No,URL
1942,"THE CHITTAGONG HILL-TRACTS LAWS (No. IV) REGULATION, 1942",V,http://bdlaws.minlaw.gov.bd/act-print-1329.html
1942,"THE CHITTAGONG HILL-TRACTS LAWS (No. V) REGULATION, 1942",VI,http://bdlaws.minlaw.gov.bd/act-print-1330.html
1942,"THE MYMENSINGH PARTIALLY EXCLUDED AREAS TENANCY REGULATION, 1942.",VIII,http://bdlaws.minlaw.gov.bd/act-print-1332.html
1942,"The Criminal Law (Industrial Areas) Amendment Act, 1942 (Bengal Act)",IV,http://bdlaws.minlaw.gov.bd/act-print-193.html
1942,"The Industrial Statistics Act, 1942",XIX,http://bdlaws.minlaw.gov.bd/act-print-194.html
1942,"The Collective Fines Ordinance, 1942",XX,http://bdlaws.minlaw.gov.bd/act-print-195.html
1942,"The Armed Forces (Special Powers) Ordinance, 1942",XLI,http://bdlaws.minlaw.gov.bd/act-print-196.html
1942,"The Income-tax and Excess Profits Tax (Emergency) Ordinance, 1942",LX,http://bdlaws.minlaw.gov.bd/act-print-197.html
1942,"The Armed Forces (Special Powers) Extension Ordinance, 1942",LXVI,http://bdlaws.minlaw.gov.bd/act-print-198.html
1943,"THE CHITTAGONG HILL-TRACT LAWS REGULATIONS, 1943",I,http://bdlaws.minlaw.gov.bd/act-print-1334.html
1943,"THE CHITTAGONG HILL-TRACTS LAWS (No. III) REGULATION, 1943",III,http://bdlaws.minlaw.gov.bd/act-print-1335.html
1943,"THE CHITTAGONG HILL-TRACTS LAWS (No. IV) REGULATION, 1943",IV,http://bdlaws.minlaw.gov.bd/act-print-1336.html
1943,"The Vagrancy Act, 1943 (Bengal Act) [Repealed]",VII,http://bdlaws.minlaw.gov.bd/act-print-199.html
1943,"The Reciprocity Act, 1943",IX,http://bdlaws.minlaw.gov.bd/act-print-200.html
1943,"The Hindu Women's Rights to Property (Extension to Agricultural Land) Act, 1943 (Assam Act)",XIII,http://bdlaws.minlaw.gov.bd/act-print-201.html
1943,"The War Injuries (Compensation Insurance) Act, 1943",XXIII,http://bdlaws.minlaw.gov.bd/act-print-202.html
1943,"The Enemy Agents Ordinance, 1943",I,http://bdlaws.minlaw.gov.bd/act-print-203.html
1943,"The Standard Time (Interpretation of References) Ordinance, 1943",VI,http://bdlaws.minlaw.gov.bd/act-print-204.html
1943,"The Military Stores (Unlawful Possession) Ordinance, 1943",XXXIII,http://bdlaws.minlaw.gov.bd/act-print-205.html
1944,"THE CHITTAGONG HILL-TRACTS LAWS (No. II) REGULATION, 1944",III,http://bdlaws.minlaw.gov.bd/act-print-1337.html
