Year,Short Title,Act No,URL
1964,"The Agricultural Produce Markets Regulation Act, 1964 (East Pakistan Act)  [Repealed]",IX,http://bdlaws.minlaw.gov.bd/act-print-337.html
1964,"The Cadet College Ordinance, 1964 (East Pakistan Ordinance) [Repealed]",II,http://bdlaws.minlaw.gov.bd/act-print-338.html
1965,"The Aircraft (Removal of Danger to Safety) Ordinance, 1965",XII,http://bdlaws.minlaw.gov.bd/act-print-339.html
1965,"The Naval Academy (Award of Degrees) Ordinance, 1965",XX,http://bdlaws.minlaw.gov.bd/act-print-340.html
1965,"The Reservists (Reinstatement in Civil Employment) Ordinance, 1965",XXI,http://bdlaws.minlaw.gov.bd/act-print-341.html
1965,"The Control of Employment Ordinance, 1965",XXXII,http://bdlaws.minlaw.gov.bd/act-print-342.html
1965,"The Publication of Books (Regulation and Control) Ordinance, 1965 (East Pakistan Ordinance)",V,http://bdlaws.minlaw.gov.bd/act-print-343.html
1966,"The Carriage by Air (International Convention) Act, 1966",IX,http://bdlaws.minlaw.gov.bd/act-print-344.html
1966,"The Ex-Government Servants (Employment with Foreign Governments) (Prohibition) Act, 1966",XII,http://bdlaws.minlaw.gov.bd/act-print-345.html
1966,"The Cantonments Pure Food Act, 1966",XVI,http://bdlaws.minlaw.gov.bd/act-print-346.html
1967,"The Import of Goods (Price Equalisation Surcharge) Act, 1967",III,http://bdlaws.minlaw.gov.bd/act-print-347.html
1967,"The Excise Duty on Minerals (Labour Welfare) Act, 1967",VIII,http://bdlaws.minlaw.gov.bd/act-print-348.html
1967,"The Technical Education Act, 1967 (East Pakistan Act) [Repealed]",I,http://bdlaws.minlaw.gov.bd/act-print-349.html
1967,"The Finance Act, 1967 (East Pakistan Act)",XVII,http://bdlaws.minlaw.gov.bd/act-print-350.html
1968,"The Conservator of Ports, Lands and Buildings (Recovery Of Possession) Act, 1967 (East Pakistan Act)",III,http://bdlaws.minlaw.gov.bd/act-print-351.html
1968,"The Carriage by Air (Supplementary Convention) Act, 1968",V,http://bdlaws.minlaw.gov.bd/act-print-352.html
1968,"The Antiquities Act, 1968",XIV,http://bdlaws.minlaw.gov.bd/act-print-353.html
1969,"The Customs Act, 1969  [Repealed]",IV,http://bdlaws.minlaw.gov.bd/act-print-354.html
1969,"The Securities and Exchange Ordinance, 1969",XVII,http://bdlaws.minlaw.gov.bd/act-print-355.html
1969,"The Defence Services (Inquiry) (Special Provisions) Ordinance, 1969",XIX,http://bdlaws.minlaw.gov.bd/act-print-356.html
1969,"The Pilotage Ordinance, 1969 (East Pakistan Ordinance)",V,http://bdlaws.minlaw.gov.bd/act-print-357.html
1969,"The Railway Servants Benevolent Fund Ordinance, 1969 (East Pakistan Ordinance)",XIX,http://bdlaws.minlaw.gov.bd/act-print-358.html
1969,"The Railway Servants Group Insurance Ordinance, 1969 (East Pakistan Ordinance)",XX,http://bdlaws.minlaw.gov.bd/act-print-359.html
1970,"The Monopolies and Restrictive Trade Practices (Control and Prevention) Ordinance, 1970  [Repealed]",V,http://bdlaws.minlaw.gov.bd/act-print-360.html
1970,"The National Service Ordinance, 1970",XXII,http://bdlaws.minlaw.gov.bd/act-print-361.html
1970,"The Control of Essential Commodities (Extension to the Chittagong Hill-Tracts) Ordinance, 1970 (East Pakistan Ordinance)",I,http://bdlaws.minlaw.gov.bd/act-print-362.html
1970,"The Government and Local Authority Lands and Buildings (Recovery of Possession) Ordinance, 1970 (East Pakistan Ordinance)",XXIV,http://bdlaws.minlaw.gov.bd/act-print-363.html
1971,"The Pesticides Ordinance, 1971  [Repealed]",II,http://bdlaws.minlaw.gov.bd/act-print-364.html
1971,"The Bangladesh (Collection of Taxes) Order, 1971 (Acting President's Order)",1,http://bdlaws.minlaw.gov.bd/act-print-365.html
1971,"The Bangladesh (Administration of Banks) Order, 1971 (Acting President's Order)",3,http://bdlaws.minlaw.gov.bd/act-print-366.html
