Year,Short Title,Act No,URL
1937,"The Agricultural Produce (Grading and Marking) Act, 1937",I,http://bdlaws.minlaw.gov.bd/act-print-170.html
1937,"The Hindu Women's Rights to Property Act, 1937",XVIII,http://bdlaws.minlaw.gov.bd/act-print-171.html
1937,"The Arya Marriage Validation Act, 1937",XIX,http://bdlaws.minlaw.gov.bd/act-print-172.html
1937,"The Muslim Personal Law (Shariat) Application Act, 1937",XXVI,http://bdlaws.minlaw.gov.bd/act-print-173.html
1938,"The Famine Insurance Fund Act, 1937 (Bengal Act)",III,http://bdlaws.minlaw.gov.bd/act-print-174.html
1938,"The Insurance Act, 1938   [Repealed]",IV,http://bdlaws.minlaw.gov.bd/act-print-175.html
1938,"The Manoeuvres, Field Firing and Artillery Practice Act, 1938",V,http://bdlaws.minlaw.gov.bd/act-print-176.html
1938,"The Official Receiver's Act, 1938 (Bengal Act)",VII,http://bdlaws.minlaw.gov.bd/act-print-177.html
1938,"The Cutchi Memons Act, 1938",X,http://bdlaws.minlaw.gov.bd/act-print-178.html
1938,"The Criminal Law Amendment Act, 1938",XX,http://bdlaws.minlaw.gov.bd/act-print-179.html
1939,"THE CHITTAGONG HILL-TRACTS LAWS REGULATION, 1939",iii,http://bdlaws.minlaw.gov.bd/act-print-1325.html
1939,"The Dissolution of Muslim Marriages Act, 1939",VIII,http://bdlaws.minlaw.gov.bd/act-print-180.html
1939,"The Tanks Improvement Act, 1939 (Bengal Act).",XV,http://bdlaws.minlaw.gov.bd/act-print-181.html
1939,"The Registration of Foreigners Act, 1939",XVI,http://bdlaws.minlaw.gov.bd/act-print-182.html
1939,"The Commercial Documents Evidence Act, 1939",XXX,http://bdlaws.minlaw.gov.bd/act-print-183.html
1940,"The Trade Marks Act, 1940  [Repealed]",V,http://bdlaws.minlaw.gov.bd/act-print-184.html
1940,"The Jute Regulation Act, 1940 (Bengal Act)",V,http://bdlaws.minlaw.gov.bd/act-print-185.html
1940,"The Money-Lenders Act, 1940 (Bengal Act)",X,http://bdlaws.minlaw.gov.bd/act-print-186.html
1940,"The Excess Profits Tax Act, 1940",XV,http://bdlaws.minlaw.gov.bd/act-print-187.html
1940,"The Drugs Act, 1940  [Repealed]",XXIII,http://bdlaws.minlaw.gov.bd/act-print-188.html
1940,"The Agricultural Produce Cess Act, 1940",XXVII,http://bdlaws.minlaw.gov.bd/act-print-189.html
1941,"The Raw Jute Taxation Act, 1941 (Bengal Act)",XI,http://bdlaws.minlaw.gov.bd/act-print-190.html
1941,"The Railways (Local Authorities' Taxation) Act, 1941",XXV,http://bdlaws.minlaw.gov.bd/act-print-191.html
1941,"The War Injuries Ordinance, 1941",VII,http://bdlaws.minlaw.gov.bd/act-print-192.html
1942,"THE CHITTAGONG HILL-TRACTS LAWS REGULATION, 1942",I,http://bdlaws.minlaw.gov.bd/act-print-1326.html
1942,"THE CHITTAGONG HILL-TRACTS LAWS (No. III) REGULATION, 1942",IV,http://bdlaws.minlaw.gov.bd/act-print-1328.html
