Year,Short Title,Act No,URL
২০০৩,"রাজশাহী প্রকৌশল ও প্রযুক্তি বিশ্ববিদ্যালয় আইন, ২০০৩",৩২,http://bdlaws.minlaw.gov.bd/act-print-908.html
২০০৩,"খুলনা প্রকৌশল ও প্রযুক্তি বিশ্ববিদ্যালয় আইন, ২০০৩",৩৩,http://bdlaws.minlaw.gov.bd/act-print-909.html
২০০৩,"ঢাকা প্রকৌশল ও প্রযুক্তি বিশ্ববিদ্যালয়, গাজীপুর আইন,২০০৩",৩৪,http://bdlaws.minlaw.gov.bd/act-print-910.html
২০০৩,"বিশেষ আদালত (অতিরিক্ত দায়িত্ব) আইন, ২০০৩",৩৫,http://bdlaws.minlaw.gov.bd/act-print-911.html
২০০৪,"বাংলাদেশ কর্মচারী কল্যাণ বোর্ড আইন, ২০০৪",১,http://bdlaws.minlaw.gov.bd/act-print-912.html
২০০৪,"আদালত সংস্কার বাস্তবায়ন (সহায়ক বিধান) আইন, ২০০৪",৩,http://bdlaws.minlaw.gov.bd/act-print-913.html
২০০৪,"দুর্নীতি দমন কমিশন আইন, ২০০৪",৫,http://bdlaws.minlaw.gov.bd/act-print-914.html
২০০৪,"বাংলাদেশ পেট্রোলিয়াম ইন্সটিটিউট আইন, ২০০৪",৬,http://bdlaws.minlaw.gov.bd/act-print-915.html
২০০৪,"বিরোধ মীমাংসা (পৌর এলাকা) বোর্ড আইন, ২০০৪",১২,http://bdlaws.minlaw.gov.bd/act-print-916.html
২০০৪,"নির্দিষ্টকরণ (সম্পূরক) আইন, ২০০৪",১৫,http://bdlaws.minlaw.gov.bd/act-print-917.html
২০০৪,"অর্থ আইন, ২০০৪",১৬,http://bdlaws.minlaw.gov.bd/act-print-918.html
২০০৪,"নির্দিষ্টকরণ আইন, ২০০৪",১৭,http://bdlaws.minlaw.gov.bd/act-print-919.html
২০০৪,"ইপিজেড শ্রমিক সংঘ ও শিল্প সম্পর্ক আইন, ২০০৪ [রহিত]",২৩,http://bdlaws.minlaw.gov.bd/act-print-920.html
২০০৪,"জন্ম ও মৃত্যু নিবন্ধন আইন, ২০০৪",২৯,http://bdlaws.minlaw.gov.bd/act-print-921.html
২০০৪,"জাতীয় সংসদ (সংরক্ষিত মহিলা আসন) নির্বাচন আইন, ২০০৪",৩০,http://bdlaws.minlaw.gov.bd/act-print-922.html
২০০৫,"বেসরকারী শিক্ষক নিবন্ধন ও প্রত্যয়ন কর্তৃপক্ষ আইন, ২০০৫",১,http://bdlaws.minlaw.gov.bd/act-print-923.html
২০০৫,ব্যক্তি মালিকানাধীন সড়ক পরিবহন শ্রমিক কল্যাণ তহবিল,২,http://bdlaws.minlaw.gov.bd/act-print-924.html
২০০৫,"পশুরোগ আইন, ২০০৫",৫,http://bdlaws.minlaw.gov.bd/act-print-925.html
২০০৫,"বাংলাদেশ পশু ও পশুজাত পণ্য সঙ্গনিরোধ আইন, ২০০৫",৬,http://bdlaws.minlaw.gov.bd/act-print-926.html
২০০৫,"ধূমপান ও তামাকজাত দ্রব্য ব্যবহার (নিয়ন্ত্রণ) আইন, ২০০৫",১১,http://bdlaws.minlaw.gov.bd/act-print-927.html
২০০৫,"জাতীয় কম্পিউটার প্রশিক্ষণ ও গবেষণা একাডেমী আইন, ২০০৫",১২,http://bdlaws.minlaw.gov.bd/act-print-928.html
২০০৫,"নির্দিষ্টকরণ (সম্পূরক) আইন, ২০০৫",১৫,http://bdlaws.minlaw.gov.bd/act-print-929.html
২০০৫,"অর্থ আইন, ২০০৫",১৬,http://bdlaws.minlaw.gov.bd/act-print-930.html
২০০৫,"নির্দিষ্টকরণ আইন, ২০০৫",১৭,http://bdlaws.minlaw.gov.bd/act-print-931.html
২০০৫,"কর-ন্যায়পাল আইন, ২০০৫ [রহিত]",১৯,http://bdlaws.minlaw.gov.bd/act-print-932.html
২০০৫,"জগন্নাথ বিশ্ববিদ্যালয় আইন, ২০০৫",২৮,http://bdlaws.minlaw.gov.bd/act-print-933.html
