Year,Short Title,Act No,URL
1957,"The Film Development Corporation Act, 1957 (East Pakistan Act)",XV,http://bdlaws.minlaw.gov.bd/act-print-273.html
1957,"The Bangladesh Small and Cottage Industries Corporation Act, 1957 [Repealed]",XVII,http://bdlaws.minlaw.gov.bd/act-print-274.html
1957,"The State Acquisition (Ad-interim Payment) Act, 1957 (East Pakistan Act)",XXXIII,http://bdlaws.minlaw.gov.bd/act-print-275.html
1957,"The State Acquisition (Bonds) Act, 1957 (East Pakistan Act)",XXXVIII,http://bdlaws.minlaw.gov.bd/act-print-276.html
1958,"The Chittagong Hill-tracts (Land Acquisition) Regulation, 1958",I,http://bdlaws.minlaw.gov.bd/act-print-1312.html
1958,"The Criminal Law Amendment Act, 1958",XL,http://bdlaws.minlaw.gov.bd/act-print-277.html
1958,"The Agricultural Census Act, 1958",XLI,http://bdlaws.minlaw.gov.bd/act-print-278.html
1958,"The Essential Services (Second) Ordinance, 1958 (East Pakistan Ordinance)",XLI,http://bdlaws.minlaw.gov.bd/act-print-279.html
1958,"The Undesirable Companies (Second) Ordinance, 1958 (East Pakistan Ordinance)",XLIX,http://bdlaws.minlaw.gov.bd/act-print-280.html
1958,"The Commissions of Inquiry (Second) Ordinance, 1958 (East Pakistan Ordinance No. LI of 1958).",LI,http://bdlaws.minlaw.gov.bd/act-print-281.html
1958,"The Inland Water Transport Authority Ordinance, 1958 (East Pakistan Ordinance)",LXXV,http://bdlaws.minlaw.gov.bd/act-print-282.html
1958,"The Finance (Third) Ordinance, 1958 (East Pakistan Ordinance)",LXXXII,http://bdlaws.minlaw.gov.bd/act-print-283.html
1959,"THE CHITTAGONG HILL-TRACTS EMPLOYMENT (RECORD OF SERVICES) REGULATION, 1959",II,http://bdlaws.minlaw.gov.bd/act-print-1364.html
1959,"THE CHITTAGONG HILL-TRACTS AERIAL ROPEWAYS REGULATION, 1960",II,http://bdlaws.minlaw.gov.bd/act-print-1365.html
1959,"The Sairat Mahals (Management) Ordinance, 1959 (East Pakistan Ordinance)",VI,http://bdlaws.minlaw.gov.bd/act-print-284.html
1959,"The Cattle (Prevention of Trespass) Ordinance, 1959 (East Pakistan Ordinance)",XII,http://bdlaws.minlaw.gov.bd/act-print-285.html
1959,"The Culturable Waste Land (Utilization) Ordinance, 1959 (East Pakistan Ordinance)",XIII,http://bdlaws.minlaw.gov.bd/act-print-286.html
1959,"The Hats and Bazars (Establishment and Acquisition) Ordinance, 1959 (East Pakistan Ordinance) [Repealed]",XIX,http://bdlaws.minlaw.gov.bd/act-print-287.html
1959,"The Government Fisheries (Protection) Ordinance, 1959 (East Pakistan Ordinance)",XXIV,http://bdlaws.minlaw.gov.bd/act-print-288.html
1959,"The Private Forests Ordinance, 1959 (East Pakistan Ordinance)",XXXIV,http://bdlaws.minlaw.gov.bd/act-print-289.html
1959,"The Claims for Maintenance (Recovery Abroad) Ordinance, 1959",L,http://bdlaws.minlaw.gov.bd/act-print-290.html
1959,"The Chittagong Development Authority Ordinance, 1959 (East Pakistan Ordinance)  [Repealed]",LI,http://bdlaws.minlaw.gov.bd/act-print-291.html
1959,"The Rent Receipt Ordinance, 1959 (East Pakistan Ordinance)",LVII,http://bdlaws.minlaw.gov.bd/act-print-292.html
1959,"The Power Alcohol Ordinance, 1959",LIX,http://bdlaws.minlaw.gov.bd/act-print-293.html
1959,"The Chittagong Muslim Institute Ordinance, 1959 (East Pakistan Ordinance)",LXV,http://bdlaws.minlaw.gov.bd/act-print-294.html
1959,"The Warehouses Ordinance, 1959 (East Pakistan Ordinance) [Repealed]",LXVI,http://bdlaws.minlaw.gov.bd/act-print-295.html
1959,"The Forest Industries Development Corporation Ordinance, 1959 (East Pakistan Ordinance)",LXVII,http://bdlaws.minlaw.gov.bd/act-print-296.html
1959,"The Pure Food Ordinance, 1959 (East Pakistan Ordinance)  [Repealed]",LXVIII,http://bdlaws.minlaw.gov.bd/act-print-297.html
1959,"The Dhanmandai Residential Zone (Termination of Lease) Ordinance, 1959 (East Pakistan Ordinance)",LXXVI,http://bdlaws.minlaw.gov.bd/act-print-298.html
1960,"The Sugar (Road Development Cess) Ordinance, 1960 (East Pakistan Ordinance)  [Repealed]",XXIII,http://bdlaws.minlaw.gov.bd/act-print-299.html
1960,"The Tea (Control of Prices, Distribution and Movement) Ordinance, 1960",XXVIII,http://bdlaws.minlaw.gov.bd/act-print-300.html
1960,"The Civil Aviation Ordinance, 1960  [Repealed]",XXXII,http://bdlaws.minlaw.gov.bd/act-print-301.html
1960,"The Probation of Offenders Ordinance, 1960",XLV,http://bdlaws.minlaw.gov.bd/act-print-302.html
1960,"The Public Investments (Financial Safeguards) Ordinance, 1960",XLVI,http://bdlaws.minlaw.gov.bd/act-print-303.html
1960,"The Eye Surgery (Restriction) Ordinance, 1960",LI,http://bdlaws.minlaw.gov.bd/act-print-304.html
1961,"The Muslim Family Laws Ordinance, 1961",VIII,http://bdlaws.minlaw.gov.bd/act-print-305.html
1961,"The Chartered Accountants Ordinance, 1961",X,http://bdlaws.minlaw.gov.bd/act-print-306.html
1961,"The Medical Colleges (Governing Bodies) Ordinance, 1961  [Repealed]",XIII,http://bdlaws.minlaw.gov.bd/act-print-307.html
1961,"The Notaries Ordinance, 1961",XIX,http://bdlaws.minlaw.gov.bd/act-print-308.html
1961,"The Petroleum Products (Development Surcharge) Ordinance, 1961",XXV,http://bdlaws.minlaw.gov.bd/act-print-309.html
1961,"The Navy Ordinance, 1961",XXXV,http://bdlaws.minlaw.gov.bd/act-print-310.html
