volume_number,year,act_title,act_number,act_id,link
5,1899,"The Government Buildings Act, 1899",IV,78,http://bdlaws.minlaw.gov.bd/act-print-78.html
5,1899,"The Church of Scotland Kirk Sessions Act, 1899",XXIII,79,http://bdlaws.minlaw.gov.bd/act-print-79.html
5,1900,"The Chittagong Hill-tracts Regulation, 1900",I,1313,http://bdlaws.minlaw.gov.bd/act-print-1313.html
5,1900,"The Prisoners Act, 1900",III,80,http://bdlaws.minlaw.gov.bd/act-print-80.html
5,1901,"The Tolls (Army and Air-Force)Act, 1901",II,81,http://bdlaws.minlaw.gov.bd/act-print-81.html
5,1903,"The Works of Defence Act, 1903",VII,82,http://bdlaws.minlaw.gov.bd/act-print-82.html
5,1903,"The Foreign Marriage Act, 1903",XIV,83,http://bdlaws.minlaw.gov.bd/act-print-83.html
5,1904,"The Public Parks Act, 1904",II,84,http://bdlaws.minlaw.gov.bd/act-print-84.html
5,1905,"The Smoke-Nuisances Act, 1905",III,85,http://bdlaws.minlaw.gov.bd/act-print-85.html
5,1908,"The Code of Civil Procedure, 1908",V,86,http://bdlaws.minlaw.gov.bd/act-print-86.html
