volume_number,year,act_title,act_number,act_id,link
23,1982,"The Standards of Weights and Measures Ordinance, 1982 [Repealed]",XII,624,http://bdlaws.minlaw.gov.bd/act-print-624.html
23,1982,"The Bangladesh Flag Vessels (Protection) Ordinance, 1982  [Repealed]",XIV,625,http://bdlaws.minlaw.gov.bd/act-print-625.html
23,1982,"The Finance Ordinance, 1982",XVI,626,http://bdlaws.minlaw.gov.bd/act-print-626.html
23,1982,"The Supreme Court Judges (Leave, Pension and Privileges) Ordinance, 1982  [Repealed]",XX,627,http://bdlaws.minlaw.gov.bd/act-print-627.html
23,1982,"The Emigration Ordinance, 1982  [Repealed]",XXIX,628,http://bdlaws.minlaw.gov.bd/act-print-628.html
23,1982,"The Bangladesh Veterinary Practitioners Ordinance, 1982  [Repealed]",XXX,629,http://bdlaws.minlaw.gov.bd/act-print-629.html
23,1982,"The Foreign Contributions (Regulation) Ordinance, 1982  [Repealed]",XXXI,630,http://bdlaws.minlaw.gov.bd/act-print-630.html
23,1982,"The Attia Forest (Protection) Ordinance, 1982",XXXIII,631,http://bdlaws.minlaw.gov.bd/act-print-631.html
23,1982,"The Public Employees Discipline (Punctual Attendance) Ordinance, 1982  [Repealed]",XXXIV,632,http://bdlaws.minlaw.gov.bd/act-print-632.html
23,1982,"The Chittagong City Corporation Ordinance, 1982  [Repealed]",XXXV,633,http://bdlaws.minlaw.gov.bd/act-print-633.html
23,1982,"The Haor Development Board (Dissolution) Ordinance, 1982",XXXVII,634,http://bdlaws.minlaw.gov.bd/act-print-634.html
23,1982,"The Off-shore Islands Development Board (Dissolution) Ordinance, 1982",XXXVIII,635,http://bdlaws.minlaw.gov.bd/act-print-635.html
23,1982,"The Institute of Islamic Education and Research (Repeal) Ordinance, 1982",XLIII,636,http://bdlaws.minlaw.gov.bd/act-print-636.html
23,1982,"The Bangladesh Hotels and Restaurants Ordinance, 1982  [Repealed]",LII,637,http://bdlaws.minlaw.gov.bd/act-print-637.html
23,1982,"The Bangladesh Rural Development Board Ordinance, 1982  [Repealed]",LIII,638,http://bdlaws.minlaw.gov.bd/act-print-638.html
23,1982,"The Electoral Rolls Ordinance, 1982  [Repealed]",LXI,639,http://bdlaws.minlaw.gov.bd/act-print-639.html
23,1983,"The Fish and Fish Products (Inspection and Quality Control) Ordinance, 1983 [Repealed]",XX,640,http://bdlaws.minlaw.gov.bd/act-print-640.html
23,1983,"The Bangladesh Railway Board (Repeal) Ordinance, 1983",XXIV,641,http://bdlaws.minlaw.gov.bd/act-print-641.html
23,1983,"The Bangladesh Merchant Shipping Ordinance, 1983",XXVI,642,http://bdlaws.minlaw.gov.bd/act-print-642.html
