volume_number,year,act_title,act_number,act_id,link
8,1925,"The Succession Act, 1925",XXXIX,138,http://bdlaws.minlaw.gov.bd/act-print-138.html
8,1926,"The Naturalization Act, 1926",VII,139,http://bdlaws.minlaw.gov.bd/act-print-139.html
8,1926,"The Contempt of Courts Act, 1926  [Repealed]",XII,140,http://bdlaws.minlaw.gov.bd/act-print-140.html
8,1926,"The Cotton Industry (Statistics) Act, 1926",XX,141,http://bdlaws.minlaw.gov.bd/act-print-141.html
8,1926,"The Legal Practitioners (Fees) Act, 1926",XXI,142,http://bdlaws.minlaw.gov.bd/act-print-142.html
8,1927,"The Vehicles Act, 1927",I,143,http://bdlaws.minlaw.gov.bd/act-print-143.html
8,1927,"The Forest Act, 1927",XVI,144,http://bdlaws.minlaw.gov.bd/act-print-144.html
8,1927,"The Lighthouse Act, 1927  [Repealed]",XVII,145,http://bdlaws.minlaw.gov.bd/act-print-145.html
8,1928,"The Borstal Schools Act, 1928",I,146,http://bdlaws.minlaw.gov.bd/act-print-146.html
8,1928,"The Hindu Inheritance (Removal of Disabilities) Act, 1928",XII,147,http://bdlaws.minlaw.gov.bd/act-print-147.html
8,1929,"The Hindu Law of Inheritance (Amendment) Act, 1929",II,148,http://bdlaws.minlaw.gov.bd/act-print-148.html
8,1929,"The Child Marriage Restraint Act, 1929  [Repealed]",XIX,149,http://bdlaws.minlaw.gov.bd/act-print-149.html
8,1930,"The Sale of Goods Act, 1930",III,150,http://bdlaws.minlaw.gov.bd/act-print-150.html
8,1930,"The Lac Cess Act, 1930",XXIV,151,http://bdlaws.minlaw.gov.bd/act-print-151.html
8,1930,"The Hindu Gains of Learning Act, 1930",XXX,152,http://bdlaws.minlaw.gov.bd/act-print-152.html
8,1930,"The Mussalman Wakf Validating Act, 1930",XXXII,153,http://bdlaws.minlaw.gov.bd/act-print-153.html
8,1931,"The State Aid to Industries Act, 1931",III,154,http://bdlaws.minlaw.gov.bd/act-print-154.html
8,1931,"The Provisional Collection of Taxes Act, 1931",XVI,155,http://bdlaws.minlaw.gov.bd/act-print-155.html
8,1932,"The Motor Vehicles Tax Act, 1932",I,156,http://bdlaws.minlaw.gov.bd/act-print-156.html
8,1932,"The Partnership Act, 1932",IX,157,http://bdlaws.minlaw.gov.bd/act-print-157.html
8,1932,"The Foreign Relations Act, 1932",XII,158,http://bdlaws.minlaw.gov.bd/act-print-158.html
8,1933,"The Suppression of Immoral Traffic Act, 1933  [Repealed]",VI,159,http://bdlaws.minlaw.gov.bd/act-print-159.html
8,1933,"The Money-Lenders Act, 1933",VII,160,http://bdlaws.minlaw.gov.bd/act-print-160.html
8,1933,"The Places of Public Amusement Act, 1933",X,161,http://bdlaws.minlaw.gov.bd/act-print-161.html
8,1933,"The Wireless Telegraphy Act, 1933",XVII,162,http://bdlaws.minlaw.gov.bd/act-print-162.html
8,1934,"The Smuggling of Arms Act, 1934",VI,163,http://bdlaws.minlaw.gov.bd/act-print-163.html
8,1934,"The Sugar-Cane Act, 1934",XV,164,http://bdlaws.minlaw.gov.bd/act-print-164.html
8,1934,"The Carriage By Air Act, 1934",XX,165,http://bdlaws.minlaw.gov.bd/act-print-165.html
8,1934,"The Petroleum Act, 1934  [Repealed]",XXX,166,http://bdlaws.minlaw.gov.bd/act-print-166.html
8,1935,"The Development Act, 1935",XVI,167,http://bdlaws.minlaw.gov.bd/act-print-167.html
8,1936,"The Parsi Marriage and Divorce Act, 1936",III,168,http://bdlaws.minlaw.gov.bd/act-print-168.html
8,1936,"The Agricultural Debtors Act, 1935",VII,169,http://bdlaws.minlaw.gov.bd/act-print-169.html
8,1936,"The Geneva Convention Implementing Act, 1936",XIV,1442,http://bdlaws.minlaw.gov.bd/act-print-1442.html
