volume_number,year,act_title,act_number,act_id,link
17,1973,"The Bangladesh Laws (Revision And Declaration) Act, 1973",VIII,430,http://bdlaws.minlaw.gov.bd/act-print-430.html
17,1973,"The Bangladesh Rice Research Institute Act, 1973  [Repealed]",X,431,http://bdlaws.minlaw.gov.bd/act-print-431.html
17,1973,"The Finance Act, 1973",XI,432,http://bdlaws.minlaw.gov.bd/act-print-432.html
17,1973,"The Appropriation (Railways) Act, 1973",XII,433,http://bdlaws.minlaw.gov.bd/act-print-433.html
17,1973,"The Appropriation Act, 1973",XVI,434,http://bdlaws.minlaw.gov.bd/act-print-434.html
17,1973,"The International Crimes (Tribunals) Act, 1973",XIX,435,http://bdlaws.minlaw.gov.bd/act-print-435.html
17,1973,"The Bangladesh Fisheries Development Corporation Act, 1973",XXII,436,http://bdlaws.minlaw.gov.bd/act-print-436.html
17,1973,"The Printing Presses and Publications (Declaration and Registration) Act, 1973",XXIII,437,http://bdlaws.minlaw.gov.bd/act-print-437.html
17,1973,"The Rajshahi University Act, 1973",XXVI,438,http://bdlaws.minlaw.gov.bd/act-print-438.html
17,1973,"The Bangladesh Girl Guides Association Act, 1973",XXXI,439,http://bdlaws.minlaw.gov.bd/act-print-439.html
