volume_number,year,act_title,act_number,act_id,link
35,2001,"শেরেবাংলা কৃষি বিশ্ববিদ্যালয় আইন, ২০০১",৪৬,875,http://bdlaws.minlaw.gov.bd/act-print-875.html
35,2001,"সমবায় সমিতি আইন, ২০০১",৪৭,876,http://bdlaws.minlaw.gov.bd/act-print-876.html
35,2001,"পার্বত্য চট্টগ্রাম ভূমি-বিরোধ নিষ্পত্তি কমিশন আইন, ২০০১",৫৩,877,http://bdlaws.minlaw.gov.bd/act-print-877.html
35,2001,"বাংলাদেশ বেতার কর্তৃপক্ষ আইন, ২০০১",৫৪,878,http://bdlaws.minlaw.gov.bd/act-print-878.html
35,2001,"বাংলাদেশ টেলিভিশন কর্তৃপক্ষ আইন, ২০০১",৫৫,879,http://bdlaws.minlaw.gov.bd/act-print-879.html
35,2001,"ইমাম ও মুয়াজ্জিন কল্যাণ ট্রাস্ট আইন, ২০০১",৫৬,880,http://bdlaws.minlaw.gov.bd/act-print-880.html
35,2001,"জাতির পিতার পরিবার-সদস্যগণের নিরাপত্তা (রহিতকরণ) আইন, ২০০১",৬০,881,http://bdlaws.minlaw.gov.bd/act-print-881.html
35,2002,"এসিড নিয়ন্ত্রণ আইন, ২০০২",১,882,http://bdlaws.minlaw.gov.bd/act-print-882.html
35,2002,"এসিড অপরাধ দমন আইন, ২০০২",২,883,http://bdlaws.minlaw.gov.bd/act-print-883.html
35,2002,"জাতির পিতার প্রতিকৃতি সংরক্ষণ ও প্রদর্শন (রহিতকরণ) আইন, ২০০২",৪,884,http://bdlaws.minlaw.gov.bd/act-print-884.html
35,2002,"জননিরাপত্তা (বিশেষ বিধান) (রহিতকরণ) আইন, ২০০২",৬,885,http://bdlaws.minlaw.gov.bd/act-print-885.html
35,2002,"মানিলণ্ডারিং প্রতিরোধ আইন, ২০০২ [রহিত]",৭,886,http://bdlaws.minlaw.gov.bd/act-print-886.html
35,2002,"জাতীয় মুক্তিযোদ্ধা কাউন্সিল আইন, ২০০২ [রহিত]",৮,887,http://bdlaws.minlaw.gov.bd/act-print-887.html
35,2002,"আইন-শৃঙ্খলা বিঘ্নকারী অপরাধ (দ্রুত বিচার) আইন, ২০০২",১১,888,http://bdlaws.minlaw.gov.bd/act-print-888.html
35,2002,"নিরাপদ রক্ত পরিসঞ্চালন আইন, ২০০২",১২,889,http://bdlaws.minlaw.gov.bd/act-print-889.html
35,2002,"নির্দিষ্টকরণ (সম্পূরক) আইন, ২০০২",১৩,890,http://bdlaws.minlaw.gov.bd/act-print-890.html
35,2002,"অর্থ আইন, ২০০২",১৪,891,http://bdlaws.minlaw.gov.bd/act-print-891.html
35,2002,"নির্দিষ্টকরণ আইন, ২০০২",১৫,892,http://bdlaws.minlaw.gov.bd/act-print-892.html
35,2002,"শিশু-মাতৃ স্বাস্থ্য ইনস্‌টিটিউট আইন, ২০০২",১৬,893,http://bdlaws.minlaw.gov.bd/act-print-893.html
35,2002,"পুলিশ ষ্টাফ কলেজ আইন, ২০০২",২৫,894,http://bdlaws.minlaw.gov.bd/act-print-894.html
35,2002,"বেসরকারী শিক্ষা প্রতিষ্ঠান শিক্ষক ও কর্মচারী অবসর সুবিধা আইন, ২০০২",২৭,895,http://bdlaws.minlaw.gov.bd/act-print-895.html
35,2002,"দ্রুত বিচার ট্রাইব্যুনাল আইন, ২০০২",২৮,896,http://bdlaws.minlaw.gov.bd/act-print-896.html
35,2003,"যৌথ অভিযান দায়মুক্তি আইন, ২০০৩",১,897,http://bdlaws.minlaw.gov.bd/act-print-897.html
35,2003,"ভ্রমণ কর আইন, ২০০৩",৫,898,http://bdlaws.minlaw.gov.bd/act-print-898.html
35,2003,"গ্রাম সরকার আইন, ২০০৩ [রহিত]",৬,899,http://bdlaws.minlaw.gov.bd/act-print-899.html
35,2003,"অগ্নি প্রতিরোধ ও নির্বাপণ  আইন, ২০০৩",৭,900,http://bdlaws.minlaw.gov.bd/act-print-900.html
35,2003,"অর্থ ঋণ আদালত আইন, ২০০৩",৮,901,http://bdlaws.minlaw.gov.bd/act-print-901.html
35,2003,"বাংলাদেশ এনার্জি রেগুলেটরী কমিশন আইন, ২০০৩",১৩,902,http://bdlaws.minlaw.gov.bd/act-print-902.html
35,2003,"নির্দিষ্টকরণ (সম্পূরক) আইন, ২০০৩",১৬,903,http://bdlaws.minlaw.gov.bd/act-print-903.html
35,2003,"অর্থ আইন, ২০০৩",১৭,904,http://bdlaws.minlaw.gov.bd/act-print-904.html
35,2003,"নির্দিষ্টকরণ আইন, ২০০৩",১৮,905,http://bdlaws.minlaw.gov.bd/act-print-905.html
35,2003,"বাংলাদেশ রেশম গবেষণা ও প্রশিক্ষণ ইনস্টিটিউট আইন, ২০০৩ [রহিত]",২৫,906,http://bdlaws.minlaw.gov.bd/act-print-906.html
35,2003,"চট্টগ্রাম প্রকৌশল ও প্রযুক্তি বিশ্ববিদ্যালয় আইন, ২০০৩",৩১,907,http://bdlaws.minlaw.gov.bd/act-print-907.html
