volume_number,year,act_title,act_number,act_id,link
7,1914,"The Destructive Insects and Pests Act, 1914  [Repealed]",II,102,http://bdlaws.minlaw.gov.bd/act-print-102.html
7,1914,"The Local Authorities Loans Act, 1914",IX,103,http://bdlaws.minlaw.gov.bd/act-print-103.html
7,1916,"The Medical Degrees Act, 1916  [Repealed]",VII,104,http://bdlaws.minlaw.gov.bd/act-print-104.html
7,1916,"The Hindu Disposition of Property Act, 1916",XV,105,http://bdlaws.minlaw.gov.bd/act-print-105.html
7,1917,"The Destruction of Records Act, 1917",V,106,http://bdlaws.minlaw.gov.bd/act-print-106.html
7,1917,"The Post Office Cash Certificates Act, 1917",XVIII,107,http://bdlaws.minlaw.gov.bd/act-print-107.html
7,1918,"The Cinematograph Act, 1918",II,108,http://bdlaws.minlaw.gov.bd/act-print-108.html
7,1918,"The Usurious Loans Act, 1918",X,109,http://bdlaws.minlaw.gov.bd/act-print-109.html
7,1918,"The Companies (Foreign Interests) Act, 1918",XX,110,http://bdlaws.minlaw.gov.bd/act-print-110.html
7,1918,"The Cotton Cloth Act, 1918",XXIII,111,http://bdlaws.minlaw.gov.bd/act-print-111.html
7,1919,"The Local Authorities Pensions and Gratuities Act, 1919",I,112,http://bdlaws.minlaw.gov.bd/act-print-112.html
7,1919,"The Juvenile Smoking Act, 1919  [Repealed]",II,113,http://bdlaws.minlaw.gov.bd/act-print-113.html
7,1919,"The Poisons Act, 1919",XII,114,http://bdlaws.minlaw.gov.bd/act-print-114.html
7,1920,"The Cruelty to Animals Act, 1920 [Repealed]",I,115,http://bdlaws.minlaw.gov.bd/act-print-115.html
7,1920,"The Alluvial Lands Act, 1920",V,116,http://bdlaws.minlaw.gov.bd/act-print-116.html
7,1920,"The Agricultural and Sanitary Improvement Act, 1920",VI,117,http://bdlaws.minlaw.gov.bd/act-print-117.html
7,1920,"The Securities Act, 1920",X,118,http://bdlaws.minlaw.gov.bd/act-print-118.html
7,1920,"The Charitable and Religious Trusts Act, 1920",XIV,119,http://bdlaws.minlaw.gov.bd/act-print-119.html
7,1920,"The Identification of Prisoners Act, 1920",XXXIII,120,http://bdlaws.minlaw.gov.bd/act-print-120.html
7,1920,"The Passport Act, 1920",XXXIV,121,http://bdlaws.minlaw.gov.bd/act-print-121.html
7,1921,"The Maintenance Orders Enforcement Act, 1921",XVIII,122,http://bdlaws.minlaw.gov.bd/act-print-122.html
7,1922,"The Amusements Tax Act, 1922",V,123,http://bdlaws.minlaw.gov.bd/act-print-123.html
7,1922,"The Police (Incitement to Disaffection) Act, 1922",XXII,124,http://bdlaws.minlaw.gov.bd/act-print-124.html
7,1923,"The Cotton Transport Act, 1923",III,125,http://bdlaws.minlaw.gov.bd/act-print-125.html
7,1923,"The Mines Act, 1923",IV,126,http://bdlaws.minlaw.gov.bd/act-print-126.html
7,1923,"The Boilers Act, 1923 [Repealed]",V,127,http://bdlaws.minlaw.gov.bd/act-print-127.html
7,1923,"The Cantonments (House Accommodation) Act, 1923",VI,128,http://bdlaws.minlaw.gov.bd/act-print-128.html
7,1923,"The Naval Armament Act, 1923",VII,129,http://bdlaws.minlaw.gov.bd/act-print-129.html
7,1923,"The Aerial Ropeways Act, 1923",VII,130,http://bdlaws.minlaw.gov.bd/act-print-130.html
7,1923,"The Cotton Cess Act, 1923",XIV,131,http://bdlaws.minlaw.gov.bd/act-print-131.html
7,1923,"The Official Secrets Act, 1923",XIX,132,http://bdlaws.minlaw.gov.bd/act-print-132.html
7,1924,"The Cantonments Act, 1924  [Repealed]",II,133,http://bdlaws.minlaw.gov.bd/act-print-133.html
7,1925,"The Highways Act, 1925  [Repealed]",III,134,http://bdlaws.minlaw.gov.bd/act-print-134.html
7,1925,"The Soldiers (Litigation) Act, 1925",IV,135,http://bdlaws.minlaw.gov.bd/act-print-135.html
7,1925,"The Provident Funds Act, 1925",XIX,136,http://bdlaws.minlaw.gov.bd/act-print-136.html
7,1925,"The Carriage of Goods by Sea Act, 1925",XXVI,137,http://bdlaws.minlaw.gov.bd/act-print-137.html
