volume_number,year,act_title,act_number,act_id,link
43,2013,"আদালত অবমাননা আইন, ২০১৩",৪,1108,http://bdlaws.minlaw.gov.bd/act-print-1108.html
43,2013,"ওয়াক্‌ফ (সম্পত্তি হস্তান্তর ও উন্নয়ন) বিশেষ বিধান আইন, ২০১৩",৫,1109,http://bdlaws.minlaw.gov.bd/act-print-1109.html
43,2013,"১৯৭৫ সালের ১৫ আগস্ট  হইতে ১৯৭৯ সালের ৯ এপ্রিল তারিখ পর্যন্ত সময়ের মধ্যে জারীকৃত কতিপয় অধ্যাদেশ কার্যকরকরণ (বিশেষ বিধান) আইন, ২০১৩",৬,1110,http://bdlaws.minlaw.gov.bd/act-print-1110.html
43,2013,"১৯৮২ সালের ২৪ মার্চ হইতে ১৯৮৬ সালের ১১ নভেম্বর তারিখ পর্যন্ত সময়ের মধ্যে জারীকৃত কতিপয় অধ্যাদেশ কার্যকরকরণ (বিশেষ বিধান) আইন,২০১৩",৭,1111,http://bdlaws.minlaw.gov.bd/act-print-1111.html
43,2013,"পরিসংখ্যান আইন, ২০১৩",১২,1112,http://bdlaws.minlaw.gov.bd/act-print-1112.html
43,2013,"বাংলাদেশ রেশম উন্নয়ন বোর্ড আইন, ২০১৩",১৩,1113,http://bdlaws.minlaw.gov.bd/act-print-1113.html
43,2013,"বাংলাদেশ পানি আইন, ২০১৩",১৪,1114,http://bdlaws.minlaw.gov.bd/act-print-1114.html
43,2013,"এক্সচেঞ্জেস ডিমিউচ্যুয়ালাইজেশন আইন, ২০১৩",১৫,1115,http://bdlaws.minlaw.gov.bd/act-print-1115.html
43,2013,"বাংলাদেশ রাবার বোর্ড আইন, ২০১৩",১৯,1116,http://bdlaws.minlaw.gov.bd/act-print-1116.html
43,2013,"নির্দিষ্টকরণ (সম্পূরক) আইন, ২০১৩",২১,1117,http://bdlaws.minlaw.gov.bd/act-print-1117.html
43,2013,"বাংলাদেশ চলচ্চিত্র এবং টেলিভিশন ইনস্টিটিউট আইন, ২০১৩",২৩,1118,http://bdlaws.minlaw.gov.bd/act-print-1118.html
43,2013,"শিশু আইন, ২০১৩",২৪,1119,http://bdlaws.minlaw.gov.bd/act-print-1119.html
43,2013,"নির্দিষ্টকরণ আইন, ২০১৩",২৬,1120,http://bdlaws.minlaw.gov.bd/act-print-1120.html
