volume_number,year,act_title,act_number,act_id,link
36,2003,"রাজশাহী প্রকৌশল ও প্রযুক্তি বিশ্ববিদ্যালয় আইন, ২০০৩",৩২,908,http://bdlaws.minlaw.gov.bd/act-print-908.html
36,2003,"খুলনা প্রকৌশল ও প্রযুক্তি বিশ্ববিদ্যালয় আইন, ২০০৩",৩৩,909,http://bdlaws.minlaw.gov.bd/act-print-909.html
36,2003,"ঢাকা প্রকৌশল ও প্রযুক্তি বিশ্ববিদ্যালয়, গাজীপুর আইন,২০০৩",৩৪,910,http://bdlaws.minlaw.gov.bd/act-print-910.html
36,2003,"বিশেষ আদালত (অতিরিক্ত দায়িত্ব) আইন, ২০০৩",৩৫,911,http://bdlaws.minlaw.gov.bd/act-print-911.html
36,2004,"বাংলাদেশ কর্মচারী কল্যাণ বোর্ড আইন, ২০০৪",১,912,http://bdlaws.minlaw.gov.bd/act-print-912.html
36,2004,"আদালত সংস্কার বাস্তবায়ন (সহায়ক বিধান) আইন, ২০০৪",৩,913,http://bdlaws.minlaw.gov.bd/act-print-913.html
36,2004,"দুর্নীতি দমন কমিশন আইন, ২০০৪",৫,914,http://bdlaws.minlaw.gov.bd/act-print-914.html
36,2004,"বাংলাদেশ পেট্রোলিয়াম ইন্সটিটিউট আইন, ২০০৪",৬,915,http://bdlaws.minlaw.gov.bd/act-print-915.html
36,2004,"বিরোধ মীমাংসা (পৌর এলাকা) বোর্ড আইন, ২০০৪",১২,916,http://bdlaws.minlaw.gov.bd/act-print-916.html
36,2004,"নির্দিষ্টকরণ (সম্পূরক) আইন, ২০০৪",১৫,917,http://bdlaws.minlaw.gov.bd/act-print-917.html
36,2004,"অর্থ আইন, ২০০৪",১৬,918,http://bdlaws.minlaw.gov.bd/act-print-918.html
36,2004,"নির্দিষ্টকরণ আইন, ২০০৪",১৭,919,http://bdlaws.minlaw.gov.bd/act-print-919.html
36,2004,"ইপিজেড শ্রমিক সংঘ ও শিল্প সম্পর্ক আইন, ২০০৪ [রহিত]",২৩,920,http://bdlaws.minlaw.gov.bd/act-print-920.html
36,2004,"জন্ম ও মৃত্যু নিবন্ধন আইন, ২০০৪",২৯,921,http://bdlaws.minlaw.gov.bd/act-print-921.html
36,2004,"জাতীয় সংসদ (সংরক্ষিত মহিলা আসন) নির্বাচন আইন, ২০০৪",৩০,922,http://bdlaws.minlaw.gov.bd/act-print-922.html
36,2005,"বেসরকারী শিক্ষক নিবন্ধন ও প্রত্যয়ন কর্তৃপক্ষ আইন, ২০০৫",১,923,http://bdlaws.minlaw.gov.bd/act-print-923.html
36,2005,ব্যক্তি মালিকানাধীন সড়ক পরিবহন শ্রমিক কল্যাণ তহবিল,২,924,http://bdlaws.minlaw.gov.bd/act-print-924.html
36,2005,"পশুরোগ আইন, ২০০৫",৫,925,http://bdlaws.minlaw.gov.bd/act-print-925.html
36,2005,"বাংলাদেশ পশু ও পশুজাত পণ্য সঙ্গনিরোধ আইন, ২০০৫",৬,926,http://bdlaws.minlaw.gov.bd/act-print-926.html
36,2005,"ধূমপান ও তামাকজাত দ্রব্য ব্যবহার (নিয়ন্ত্রণ) আইন, ২০০৫",১১,927,http://bdlaws.minlaw.gov.bd/act-print-927.html
36,2005,"জাতীয় কম্পিউটার প্রশিক্ষণ ও গবেষণা একাডেমী আইন, ২০০৫",১২,928,http://bdlaws.minlaw.gov.bd/act-print-928.html
36,2005,"নির্দিষ্টকরণ (সম্পূরক) আইন, ২০০৫",১৫,929,http://bdlaws.minlaw.gov.bd/act-print-929.html
36,2005,"অর্থ আইন, ২০০৫",১৬,930,http://bdlaws.minlaw.gov.bd/act-print-930.html
36,2005,"নির্দিষ্টকরণ আইন, ২০০৫",১৭,931,http://bdlaws.minlaw.gov.bd/act-print-931.html
36,2005,"কর-ন্যায়পাল আইন, ২০০৫ [রহিত]",১৯,932,http://bdlaws.minlaw.gov.bd/act-print-932.html
36,2005,"জগন্নাথ বিশ্ববিদ্যালয় আইন, ২০০৫",২৮,933,http://bdlaws.minlaw.gov.bd/act-print-933.html
