volume_number,year,act_title,act_number,act_id,link
22,1980,"The Finance Act, 1980",XXIII,604,http://bdlaws.minlaw.gov.bd/act-print-604.html
22,1980,"The Appropriation Act, 1980",XXIV,605,http://bdlaws.minlaw.gov.bd/act-print-605.html
22,1980,"The Film Clubs (Registration and Regulation) Act, 1980  [Repealed]",XXVIII,606,http://bdlaws.minlaw.gov.bd/act-print-606.html
22,1980,"The Dowry Prohibition Act, 1980  [Repealed]",XXXV,607,http://bdlaws.minlaw.gov.bd/act-print-607.html
22,1980,"The Bangladesh Export Processing Zones Authority Act, 1980",XXXVI,608,http://bdlaws.minlaw.gov.bd/act-print-608.html
22,1980,"ইসলামী বিশ্ববিদ্যালয় আইন, ১৯৮০",৩৭,609,http://bdlaws.minlaw.gov.bd/act-print-609.html
22,1980,"The Public Examinations (Offences) Act, 1980",XLII,610,http://bdlaws.minlaw.gov.bd/act-print-610.html
22,1981,"The Members of Parliament (Determination of Dispute) Act, 1980",I,611,http://bdlaws.minlaw.gov.bd/act-print-611.html
22,1981,"The Bangladesh Consumer Supplies Corporation (Repeal) Act, 1981",III,612,http://bdlaws.minlaw.gov.bd/act-print-612.html
22,1981,"The Administrative Tribunals Act, 1980",VII,613,http://bdlaws.minlaw.gov.bd/act-print-613.html
22,1981,"The Appropriation (Railways Supplementary) Act, 1981",VIII,614,http://bdlaws.minlaw.gov.bd/act-print-614.html
22,1981,"The Appropriation (Railways) Act, 1981",IX,615,http://bdlaws.minlaw.gov.bd/act-print-615.html
22,1981,"The Appropriation (Supplementary) Act, 1981",X,616,http://bdlaws.minlaw.gov.bd/act-print-616.html
22,1981,"The Finance Act, 1981",XI,617,http://bdlaws.minlaw.gov.bd/act-print-617.html
22,1981,"The Appropriation Act, 1981",XII,618,http://bdlaws.minlaw.gov.bd/act-print-618.html
22,1982,"The Acquisition and Requisition of Immovable Property Ordinance, 1982  [Repealed]",II,619,http://bdlaws.minlaw.gov.bd/act-print-619.html
22,1982,"The Medical Practice and Private Clinics and Laboratories (Regulation) Ordinance, 1982",IV,620,http://bdlaws.minlaw.gov.bd/act-print-620.html
22,1982,"The Bangladesh Abandoned Children (Special Provisions) (Repeal) Ordinacne, 1982",V,621,http://bdlaws.minlaw.gov.bd/act-print-621.html
22,1982,"The Zakat Fund Ordinance, 1982  [Repealed]",VI,622,http://bdlaws.minlaw.gov.bd/act-print-622.html
22,1982,"The Drugs (Control) Ordinance, 1982  [Repealed]",VIII,623,http://bdlaws.minlaw.gov.bd/act-print-623.html
