volume_number,year,act_title,act_number,act_id,link
56,2025,"মূল্য সংযোজন কর ও সম্পূরক শুল্ক (সংশোধন) অধ্যাদেশ, ২০২৫",০১,1514,http://bdlaws.minlaw.gov.bd/act-print-1514.html
56,2025,"The Excises and Salt (Amendment) Ordinance, 2025",০২,1515,http://bdlaws.minlaw.gov.bd/act-print-1515.html
56,2025,"সুপ্রীম কোর্টের বিচারক নিয়োগ অধ্যাদেশ, ২০২৫",০৩,1516,http://bdlaws.minlaw.gov.bd/act-print-1516.html
56,2025,"International Crimes (Tribunals) (Amendment) Ordinance, 2025",০৪,1517,http://bdlaws.minlaw.gov.bd/act-print-1517.html
56,2025,"বিশ্ববিদ্যালয় সংক্রান্ত কতিপয় আইন (সংশোধন) অধ্যাদেশ, ২০২৫",০৫,1518,http://bdlaws.minlaw.gov.bd/act-print-1518.html
56,2025,"শেখ রাসেল পল্লী উন্নয়ন একাডেমি, রংপুর (সংশোধন) অধ্যাদেশ, ২০২৫",০৬,1519,http://bdlaws.minlaw.gov.bd/act-print-1519.html
56,2025,"শেখ হাসিনা পল্লী উন্নয়ন একাডেমি, জামালপুর (সংশোধন) অধ্যাদেশ, ২০২৫",০৭,1520,http://bdlaws.minlaw.gov.bd/act-print-1520.html
56,2025,"বঙ্গবন্ধু দারিদ্র্য বিমোচন ও পল্লী উন্নয়ন একাডেমি (সংশোধন) অধ্যাদেশ, ২০২৫",০৮,1521,http://bdlaws.minlaw.gov.bd/act-print-1521.html
56,2025,"বঙ্গবন্ধু বিজ্ঞান ও প্রযুক্তি ফেলোশিপ ট্রাস্ট (সংশোধন) অধ্যাদেশ, ২০২৫",০৯,1522,http://bdlaws.minlaw.gov.bd/act-print-1522.html
56,2025,"বঙ্গবন্ধু শেখ মুজিবুর রহমান নভোথিয়েটার (সংশোধন) অধ্যাদেশ, ২০২৫",১০,1523,http://bdlaws.minlaw.gov.bd/act-print-1523.html
56,2025,"নারী ও শিশু নির্যাতন দমন (সংশোধন) অধ্যাদেশ, ২০২৫",১১,1524,http://bdlaws.minlaw.gov.bd/act-print-1524.html
56,2025,"বঙ্গবন্ধু শেখ মুজিব মেডিক্যাল বিশ্ববিদ্যালয় (সংশোধন) অধ্যাদেশ, ২০২৫",১২,1525,http://bdlaws.minlaw.gov.bd/act-print-1525.html
56,2025,"শেখ হাসিনা মেডিক্যাল বিশ্ববিদ্যালয়, খুলনা, (সংশোধন) অধ্যাদেশ, ২০২৫",১৩,1526,http://bdlaws.minlaw.gov.bd/act-print-1526.html
56,2025,"বঙ্গমাতা শেখ ফজিলাতুন্নেছা মুজিব মেডিকেল বিশ্ববিদ্যালয়, সিলেট (সংশোধন) অধ্যাদেশ, ২০২৫",১৪,1527,http://bdlaws.minlaw.gov.bd/act-print-1527.html
56,2025,"পরিত্যক্ত বাড়ি (সম্পূরক বিধানাবলি) (সংশোধন) অধ্যাদেশ, ২০২৫",১৫,1528,http://bdlaws.minlaw.gov.bd/act-print-1528.html
56,2025,"পাবলিক প্রকিউরমেন্ট (সংশোধন) অধ্যাদেশ, ২০২৫",১৬,1529,http://bdlaws.minlaw.gov.bd/act-print-1529.html
56,2025,"সরকারি হিসাব নিরীক্ষা অধ্যাদেশ, ২০২৫",১৭,1530,http://bdlaws.minlaw.gov.bd/act-print-1530.html
56,2025,"Code of Civil Procedure (Amendment) Ordinance, 2025",১৮,1531,http://bdlaws.minlaw.gov.bd/act-print-1531.html
56,2025,"ব্যাংক রেজল্যুশন অধ্যাদেশ, ২০২৫",১৯,1532,http://bdlaws.minlaw.gov.bd/act-print-1532.html
56,2025,"International Crimes (Tribunals) (Second Amendment) Ordinance, 2025",২০,1533,http://bdlaws.minlaw.gov.bd/act-print-1533.html
56,2025,"সন্ত্রাস বিরোধী (সংশোধন) অধ্যাদেশ, ২০২৫",২১,1534,http://bdlaws.minlaw.gov.bd/act-print-1534.html
56,2025,"গ্রামীণ ব্যাংক (সংশোধন) অধ্যাদেশ, ২০২৫",২২,1535,http://bdlaws.minlaw.gov.bd/act-print-1535.html
56,2025,"জাতীয় সংসদের নির্বাচনি এলাকার সীমানা নির্ধারণ (সংশোধন) অধ্যাদেশ, ২০২৫",২৩,1536,http://bdlaws.minlaw.gov.bd/act-print-1536.html
56,2025,"রাজস্ব নীতি ও রাজস্ব ব্যবস্থাপনা অধ্যাদেশ, ২০২৫",২৪,1537,http://bdlaws.minlaw.gov.bd/act-print-1537.html
56,2025,"সাইবার সুরক্ষা অধ্যাদেশ, ২০২৫",২৫,1538,http://bdlaws.minlaw.gov.bd/act-print-1538.html
56,2025,"সরকারি চাকরি (সংশোধন) অধ্যাদেশ, ২০২৫",২৬,1539,http://bdlaws.minlaw.gov.bd/act-print-1539.html
56,2025,"বঙ্গবন্ধু ক্রীড়াসেবী কল্যাণ ফাউন্ডেশন (সংশোধন) অধ্যাদেশ, ২০২৫",২৭,1540,http://bdlaws.minlaw.gov.bd/act-print-1540.html
56,2025,"অর্থ অধ্যাদেশ, ২০২৫",২৮,1541,http://bdlaws.minlaw.gov.bd/act-print-1541.html
56,2025,"জাতীয় মুক্তিযোদ্ধা কাউন্সিল (সংশোধন) অধ্যাদেশ, ২০২৫",২৯,1542,http://bdlaws.minlaw.gov.bd/act-print-1542.html
56,2025,"জুলাই গণঅভ্যুত্থানে শহিদ পরিবার এবং জুলাই যোদ্ধাদের কল্যাণ ও পুনর্বাসন অধ্যাদেশ, ২০২৫",৩০,1543,http://bdlaws.minlaw.gov.bd/act-print-1543.html
56,2025,"নির্দিষ্টকরণ (সম্পূরক) অধ্যাদেশ, ২০২৫",৩১,1544,http://bdlaws.minlaw.gov.bd/act-print-1544.html
56,2025,"নির্দিষ্টকরণ অধ্যাদেশ, ২০২৫",৩২,1545,http://bdlaws.minlaw.gov.bd/act-print-1545.html
56,2025,"অর্থ সংক্রান্ত কতিপয় আইন (সংশোধন) অধ্যাদেশ, ২০২৫",৩৩,1546,http://bdlaws.minlaw.gov.bd/act-print-1546.html
56,2025,"Protection and Conservation of Fish (Amendment) Ordinance, 2025",৩৪,1547,http://bdlaws.minlaw.gov.bd/act-print-1547.html
56,2025,"আইনগত সহায়তা প্রদান (সংশোধন) অধ্যাদেশ, ২০২৫",৩৫,1548,http://bdlaws.minlaw.gov.bd/act-print-1548.html
56,2025,"Code of Criminal Procedure (Amendment) Ordinance, 2025",৩৬,1549,http://bdlaws.minlaw.gov.bd/act-print-1549.html
56,2025,"সরকারি চাকরি (দ্বিতীয় সংশোধন) অধ্যাদেশ, ২০২৫",৩৭,1550,http://bdlaws.minlaw.gov.bd/act-print-1550.html
56,2025,"মহেশখালী সমন্বিত উন্নয়ন কর্তৃপক্ষ অধ্যাদেশ, ২০২৫",৩৮,1551,http://bdlaws.minlaw.gov.bd/act-print-1551.html
56,2025,"ভোটার তালিকা (সংশোধন) অধ্যাদেশ, ২০২৫",৩৯,1552,http://bdlaws.minlaw.gov.bd/act-print-1552.html
56,2025,"জাতীয় ক্রীড়া পরিষদ (সংশোধন) অধ্যাদেশ, ২০২৫",৪০,1553,http://bdlaws.minlaw.gov.bd/act-print-1553.html
56,2025,"Code of Criminal Procedure (Second Amendment) Ordinance, 2025",৪১,1554,http://bdlaws.minlaw.gov.bd/act-print-1554.html
56,2025,"বাংলাদেশ বিনিয়োগ উন্নয়ন কর্তৃপক্ষ (সংশোধন) অধ্যাদেশ, ২০২৫",৪২,1555,http://bdlaws.minlaw.gov.bd/act-print-1555.html
56,2025,"স্থানীয় সরকার (সিটি কর্পোরেশন) (সংশোধন) অধ্যাদেশ, ২০২৫",৪৩,1556,http://bdlaws.minlaw.gov.bd/act-print-1556.html
56,2025,"স্থানীয় সরকার (পৌরসভা) (সংশোধন) অধ্যাদেশ, ২০২৫",৪৪,1557,http://bdlaws.minlaw.gov.bd/act-print-1557.html
56,2025,"স্থানীয় সরকার (সিটি কর্পোরেশন) (দ্বিতীয় সংশোধন) অধ্যাদেশ, ২০২৫",৪৫,1558,http://bdlaws.minlaw.gov.bd/act-print-1558.html
56,2025,"রাজস্ব নীতি ও রাজস্ব ব্যবস্থাপনা (সংশোধন) অধ্যাদেশ, ২০২৫",৪৬,1559,http://bdlaws.minlaw.gov.bd/act-print-1559.html
56,2025,"স্থানীয় সরকার (ইউনিয়ন পরিষদ) (সংশোধন) অধ্যাদেশ, ২০২৫",৪৭,1560,http://bdlaws.minlaw.gov.bd/act-print-1560.html
56,2025,"গাজীপুর ডিজিটাল ইউনিভার্সিটি (সংশোধন) অধ্যাদেশ, ২০২৫",৪৮,1561,http://bdlaws.minlaw.gov.bd/act-print-1561.html
56,2025,"উপজেলা পরিষদ (সংশোধন) অধ্যাদেশ, ২০২৫",৪৯,1562,http://bdlaws.minlaw.gov.bd/act-print-1562.html
56,2025,"নির্বাচন কমিশন সচিবালয় (সংশোধন) অধ্যাদেশ, ২০২৫",৫০,1563,http://bdlaws.minlaw.gov.bd/act-print-1563.html
56,2025,"নির্বাচন কর্মকর্তা (বিশেষ বিধান) (সংশোধন) অধ্যাদেশ, ২০২৫",৫১,1564,http://bdlaws.minlaw.gov.bd/act-print-1564.html
56,2025,"অর্থ সংক্রান্ত কতিপয় আইন (দ্বিতীয় সংশোধন) অধ্যাদেশ, ২০২৫",৫২,1565,http://bdlaws.minlaw.gov.bd/act-print-1565.html
56,2025,"International Crimes (Tribunals) (Third Amendment) Ordinance, 2025",৫৩,1566,http://bdlaws.minlaw.gov.bd/act-print-1566.html
56,2025,"সাইবার সুরক্ষা (সংশোধন) অধ্যাদেশ, ২০২৫",৫৪,1567,http://bdlaws.minlaw.gov.bd/act-print-1567.html
56,2025,"Civil Courts (Amendment) Ordinance, 2025",৫৫,1568,http://bdlaws.minlaw.gov.bd/act-print-1568.html
56,2025,"Representation of the People (Amendment) Ordinance, 2025",৫৬,1569,http://bdlaws.minlaw.gov.bd/act-print-1569.html
56,2025,"মূল্য সংযোজন কর ও সম্পূরক শুল্ক (দ্বিতীয় সংশোধন) অধ্যাদেশ, ২০২৫",৫৭,1570,http://bdlaws.minlaw.gov.bd/act-print-1570.html
56,2025,"কাস্টমস (সংশোধন) অধ্যাদেশ, ২০২৫",৫৮,1571,http://bdlaws.minlaw.gov.bd/act-print-1571.html
56,2025,"আয়কর (সংশোধন) অধ্যাদেশ, ২০২৫",৫৯,1572,http://bdlaws.minlaw.gov.bd/act-print-1572.html
56,2025,"জাতীয় উপাত্ত ব্যবস্থাপনা অধ্যাদেশ, ২০২৫",৬০,1573,http://bdlaws.minlaw.gov.bd/act-print-1573.html
56,2025,"ব্যক্তিগত উপাত্ত সুরক্ষা অধ্যাদেশ, ২০২৫",৬১,1574,http://bdlaws.minlaw.gov.bd/act-print-1574.html
56,2025,"জাতীয় মানবাধিকার কমিশন অধ্যাদেশ, ২০২৫",৬২,1575,http://bdlaws.minlaw.gov.bd/act-print-1575.html
56,2025,"জুলাই গণঅভ্যুত্থান স্মৃতি জাদুঘর অধ্যাদেশ, ২০২৫",৬৩,1576,http://bdlaws.minlaw.gov.bd/act-print-1576.html
56,2025,"আমানত সুরক্ষা অধ্যাদেশ, ২০২৫",৬৪,1577,http://bdlaws.minlaw.gov.bd/act-print-1577.html
56,2025,"বাংলাদেশ শ্রম (সংশোধন) অধ্যাদেশ ,২০২৫",৬৫,1578,http://bdlaws.minlaw.gov.bd/act-print-1578.html
56,2025,"মানবদেহে অঙ্গ-প্রত্যঙ্গ সংযোজন অধ্যাদেশ, ২০২৫",৬৬,1579,http://bdlaws.minlaw.gov.bd/act-print-1579.html
56,2025,"গণভোট অধ্যাদেশ, ২০২৫",৬৭,1580,http://bdlaws.minlaw.gov.bd/act-print-1580.html
56,2025,"বরিশাল উন্নয়ন কর্তৃপক্ষ অধ্যাদেশ, ২০২৫",৬৮,1581,http://bdlaws.minlaw.gov.bd/act-print-1581.html
56,2025,"ময়মনসিংহ উন্নয়ন কর্তৃপক্ষ অধ্যাদেশ, ২০২৫",৬৯,1582,http://bdlaws.minlaw.gov.bd/act-print-1582.html
56,2025,"রংপুর উন্নয়ন কর্তৃপক্ষ অধ্যাদেশ, ২০২৫",৭০,1583,http://bdlaws.minlaw.gov.bd/act-print-1583.html
56,2025,"স্থানিক পরিকল্পনা অধ্যাদেশ, ২০২৫",৭১,1584,http://bdlaws.minlaw.gov.bd/act-print-1584.html
56,2025,"সুপ্রীম কোর্ট সচিবালয় অধ্যাদেশ, ২০২৫",৭২,1585,http://bdlaws.minlaw.gov.bd/act-print-1585.html
56,2025,"গুম প্রতিরোধ ও প্রতিকার অধ্যাদেশ, ২০২৫",৭৩,1586,http://bdlaws.minlaw.gov.bd/act-print-1586.html
56,2025,"জাতীয় মানবাধিকার কমিশন (সংশোধন) অধ্যাদেশ, ২০২৫",৭৪,1587,http://bdlaws.minlaw.gov.bd/act-print-1587.html
56,2025,"Representation of the People Order (Second Amendment) Ordinance, 2025",৭৫,1588,http://bdlaws.minlaw.gov.bd/act-print-1588.html
